age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
82,92,2500,1250,Without-pay,12th,Separated,Tech-support,Own-child,Other,Female,France,>50K
72,76,0,0,Self-emp-not-inc,Bachelors,Widowed,Tech-support,Not-in-family,White,Female,United-States,<=50K
72,92,2500,1250,Private,12th,Separated,Tech-support,Own-child,White,Female,France,>50K
32,16,0,0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Male,United-States,<=50K
32,16,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
52,26,0,0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,United-States,<=50K
52,36,0,0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
62,86,0,1250,Never-worked,Prof-school,Widowed,Armed-Forces,,Amer-Indian-Eskimo,Male,?,>50K
42,46,0,0,Private,Bachelors,Never-married,Exec-managerial,Unmarried,White,Female,United-States,<=50K
42,26,0,0,Local-gov,Some-college,Separated,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,United-States,<=50K
42,36,0,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,El-Salvador,<=50K
62,46,0,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,El-Salvador,<=50K
62,36,0,1750,Federal-gov,7th-8th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States,>50K
32,56,2500,0,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Female,United-States,>50K
52,36,0,0,Without-pay,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Male,United-States,<=50K
42,36,0,0,Private,HS-grad,Married-civ-spouse,Other-service,Unmarried,White,Female,United-States,<=50K
72,46,0,0,Local-gov,Prof-school,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,France,>50K
72,6,0,250,,12th,Separated,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,France,<=50K
32,36,0,0,Private,HS-grad,Divorced,Handlers-cleaners,Husband,Black,Male,El-Salvador,<=50K
42,36,7500,0,Without-pay,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,?,<=50K
22,16,0,0,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
62,36,0,0,Local-gov,HS-grad,Divorced,Priv-house-serv,Wife,White,Male,United-States,<=50K
42,46,0,0,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,United-States,>50K
42,26,0,0,Private,Some-college,Married-civ-spouse,Transport-moving,Unmarried,White,Male,United-States,<=50K
22,76,0,0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
32,26,0,0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,>50K
