age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
56,39,63450,0,Private,HS-grad,Never-married,Transport-moving,Husband,Other,Male,United-States,<=50K
29,9,0,0,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,United-States,<=50K
30,59,56550,0,Private,HS-grad,Divorced,Craft-repair,Husband,White,Female,United-States,<=50K
43,39,29750,0,Federal-gov,7th-8th,Divorced,,Husband,White,Male,United-States,<=50K
54,39,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,United-States,<=50K
30,19,23814,0,Self-emp-not-inc,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
20,76,10614,0,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
46,39,10650,0,Federal-gov,11th,Never-married,Farming-fishing,Not-in-family,White,Male,Ireland,<=50K
38,39,25150,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,United-States,<=50K
47,34,0,1980,Private,Some-college,Separated,Tech-support,Unmarried,White,Male,United-States,<=50K
51,5,0,0,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
30,19,0,2580,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
32,49,26714,1740,,HS-grad,Widowed,Priv-house-serv,Unmarried,White,Female,Taiwan,>50K
18,88,39050,0,Private,Some-college,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
24,39,12750,0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,United-States,<=50K
18,75,0,100,Private,Bachelors,Divorced,Adm-clerical,Own-child,White,Male,South,<=50K
59,39,49350,0,Private,Some-college,Divorced,Adm-clerical,Wife,White,Female,United-States,>50K
44,39,0,0,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
58,39,0,0,Federal-gov,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Female,United-States,<=50K
28,39,17814,0,,Assoc-voc,Married-civ-spouse,Priv-house-serv,,White,Male,United-States,<=50K
46,39,7950,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
39,41,18214,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
38,68,7650,0,Private,Some-college,Divorced,Adm-clerical,Wife,White,Male,United-States,<=50K
19,31,43950,0,Private,Prof-school,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,United-States,<=50K
21,19,14214,0,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
38,39,7650,0,Private,HS-grad,Divorced,Adm-clerical,Wife,White,Male,United-States,<=50K
22,74,12314,0,Self-emp-not-inc,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,>50K
19,45,0,0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
42,13,0,0,Federal-gov,Assoc-acdm,Never-married,Adm-clerical,Husband,White,Male,United-States,<=50K
75,39,58450,0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
19,19,0,0,Private,Some-college,Married-civ-spouse,Sales,Own-child,White,Male,United-States,<=50K
37,49,48650,0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
21,39,14214,0,Private,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,United-States,<=50K
17,27,58450,0,Private,HS-grad,Never-married,Machine-op-inspct,Wife,White,Male,United-States,<=50K
25,39,3314,0,Private,Some-college,Never-married,Farming-fishing,Own-child,White,Female,United-States,<=50K
56,39,0,0,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,United-States,<=50K
19,37,0,0,Private,Some-college,Married-civ-spouse,Other-service,Own-child,White,Female,United-States,<=50K
37,69,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Other-relative,White,Male,United-States,<=50K
53,24,7250,2220,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Female,Thailand,<=50K
33,43,29250,0,Private,HS-grad,Never-married,Other-service,Wife,White,Female,United-States,<=50K
46,39,6950,3580,Private,Some-college,Never-married,Craft-repair,Husband,Other,Male,England,<=50K
61,41,37150,0,,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
20,24,48150,0,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,United-States,<=50K
26,39,30214,180,Private,Some-college,Married-civ-spouse,Tech-support,Unmarried,Black,Female,Germany,<=50K
47,19,0,500,Without-pay,Assoc-acdm,Never-married,Protective-serv,Wife,White,Male,Germany,>50K
19,44,32614,0,?,5th-6th,Never-married,?,Own-child,White,Female,United-States,<=50K
51,49,6950,0,State-gov,Masters,Divorced,Prof-specialty,Husband,White,Male,United-States,<=50K
44,39,9914,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
67,42,39050,0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
68,15,5514,0,Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
45,23,0,0,Self-emp-not-inc,10th,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
43,49,18514,700,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Female,Taiwan,>50K
40,39,28750,0,?,7th-8th,Married-civ-spouse,Armed-Forces,Husband,Black,Male,United-States,<=50K
32,39,0,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,United-States,<=50K
62,39,61550,2620,Private,11th,Never-married,Sales,Other-relative,White,Male,Vietnam,<=50K
43,39,0,0,Private,Some-college,Divorced,Craft-repair,Husband,White,Female,United-States,>50K
19,39,0,0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
18,24,26714,0,State-gov,HS-grad,Separated,Protective-serv,Not-in-family,White,Male,United-States,<=50K
46,11,0,0,,10th,Married-civ-spouse,,Not-in-family,White,Male,United-States,<=50K
23,34,49250,1420,Private,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Female,Mexico,>50K
37,0,29550,0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States,>50K
54,39,0,0,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Female,United-States,<=50K
20,39,10614,0,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
47,39,0,0,Local-gov,HS-grad,Never-married,Protective-serv,Wife,White,Female,United-States,<=50K
25,44,42650,1980,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,Guatemala,<=50K
43,39,39050,0,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
31,69,46550,0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
56,37,0,0,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
44,29,32114,0,Private,11th,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States,<=50K
80,84,0,0,Self-emp-inc,Bachelors,Never-married,Sales,Husband,White,Male,United-States,<=50K
47,81,40850,0,Private,Assoc-acdm,Divorced,Other-service,Other-relative,White,Male,United-States,<=50K
61,11,38650,0,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
23,55,0,0,Private,HS-grad,Never-married,Sales,Husband,White,Male,United-States,<=50K
29,59,24550,0,Never-worked,1st-4th,Married-civ-spouse,Protective-serv,Other-relative,White,Female,United-States,>50K
28,34,5350,0,?,Masters,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,United-States,<=50K
34,35,22050,0,?,Some-college,Never-married,?,Wife,White,Female,United-States,<=50K
55,59,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States,<=50K
36,39,28750,0,Private,Bachelors,Never-married,Prof-specialty,Unmarried,Black,Female,United-States,>50K
38,39,22714,0,Private,Assoc-voc,Divorced,Prof-specialty,Own-child,White,Male,United-States,>50K
43,59,32114,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States,<=50K
25,29,8450,2940,Private,10th,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,Poland,<=50K
36,39,31614,0,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
33,49,0,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
25,54,53250,0,Private,Some-college,Married-civ-spouse,Other-service,Unmarried,White,Female,United-States,<=50K
20,91,950,0,State-gov,Assoc-acdm,Never-married,Armed-Forces,Unmarried,White,Male,United-States,<=50K
26,37,46550,0,Self-emp-inc,12th,Married-civ-spouse,Sales,Own-child,White,Female,United-States,<=50K
52,62,0,0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,>50K
33,44,57350,460,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Hong,<=50K
52,47,18250,0,Local-gov,Prof-school,Never-married,Prof-specialty,Husband,White,Female,Philippines,<=50K
31,95,9250,0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,South,<=50K
25,39,43450,0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
74,39,0,0,?,Some-college,Never-married,?,Not-in-family,White,Male,United-States,<=50K
47,49,0,0,Private,Some-college,Widowed,Other-service,Husband,Black,Male,United-States,>50K
43,44,54650,0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
18,24,15114,0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Own-child,White,Female,United-States,<=50K
30,31,29450,3540,Local-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,Ecuador,<=50K
26,99,62450,0,Private,Bachelors,Never-married,Machine-op-inspct,Husband,White,Male,United-States,>50K
20,38,10614,0,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
37,22,17514,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
