age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
34,49,0,0,State-gov,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Male,United-States,<=50K
54,39,10614,0,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
26,39,0,0,Local-gov,Bachelors,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,United-States,<=50K
26,49,0,0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
69,39,0,2540,?,Some-college,Never-married,Exec-managerial,Husband,White,Female,Philippines,<=50K
20,59,8450,0,State-gov,HS-grad,Married-civ-spouse,?,Husband,White,Male,United-States,<=50K
48,59,0,0,Private,Some-college,Divorced,Exec-managerial,Husband,White,Male,United-States,>50K
39,54,16350,0,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,United-States,<=50K
21,14,0,1980,?,HS-grad,Never-married,?,Own-child,White,Female,,<=50K
32,27,15450,0,Without-pay,7th-8th,Separated,Sales,Unmarried,White,Female,United-States,<=50K
44,39,0,0,Private,HS-grad,Widowed,Machine-op-inspct,Husband,White,Male,United-States,<=50K
65,34,0,0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
22,25,0,0,Private,HS-grad,Widowed,Sales,Husband,White,Male,United-States,<=50K
26,39,0,0,Private,9th,Never-married,Farming-fishing,Own-child,White,Male,United-States,>50K
33,39,0,0,Private,Some-college,Widowed,Sales,Husband,White,Male,United-States,<=50K
20,19,0,0,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,>50K
59,39,0,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
39,44,0,0,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
17,47,0,0,Private,Bachelors,Married-civ-spouse,Sales,Other-relative,White,Male,Hungary,>50K
35,67,19614,0,Private,HS-grad,Divorced,Prof-specialty,Husband,White,Male,United-States,>50K
44,39,0,0,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Female,United-States,<=50K
39,49,3150,2340,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
41,39,0,0,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Female,United-States,>50K
43,39,0,0,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,United-States,<=50K
46,39,0,0,,7th-8th,Separated,,Unmarried,White,Male,United-States,<=50K
43,39,33914,0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,United-States,>50K
34,34,0,0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States,<=50K
35,39,25614,0,Federal-gov,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
40,39,20814,3220,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Female,Yugoslavia,<=50K
58,49,2914,1500,?,HS-grad,Married-civ-spouse,?,Husband,White,Female,Columbia,<=50K
45,59,0,0,Private,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,India,>50K
35,19,0,0,Private,HS-grad,Separated,Sales,Husband,White,Male,United-States,<=50K
35,9,0,0,Private,HS-grad,Divorced,Handlers-cleaners,Husband,White,Male,United-States,<=50K
39,49,0,0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
79,44,0,0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States,>50K
30,44,0,0,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
69,23,27814,0,Private,HS-grad,Married-civ-spouse,Sales,Own-child,White,Female,United-States,>50K
32,49,0,0,Private,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,United-States,<=50K
41,39,0,0,Private,Masters,Married-civ-spouse,Adm-clerical,Wife,Other,Female,United-States,>50K
