Store,Sales,Customers,DayOfWeek,Open,Promo,SchoolHoliday,StateHoliday
176,4550,375,2,1,0,0,0
26,8850,4175,2,1,0,0,0
676,6950,1425,2,1,0,0,0
676,4750,375,0,0,0,0,0
326,10050,1225,2,1,0,0,0
676,7450,875,2,1,1,0,0
376,4750,625,2,1,0,0,0
876,10250,825,2,1,0,0,0
976,7450,625,2,1,0,0,0
876,5350,225,2,1,0,0,0
126,0,0,2,1,1,1,0
76,0,0,2,1,0,0,0
676,7950,275,2,1,0,0,0
526,7350,825,2,1,0,0,0
276,9350,725,2,1,1,0,0
576,3650,475,2,1,0,0,0
726,0,0,2,1,0,0,0
126,0,0,2,1,1,0,0
276,7350,875,2,1,1,0,0
126,7050,725,2,1,0,0,0
476,9550,1425,2,1,0,0,0
476,7250,625,0,1,1,0,0
476,7250,625,0,1,1,1,0
26,4850,375,2,1,0,0,0
526,0,0,2,1,0,0,0
476,10750,1025,2,1,0,0,0
476,7550,825,2,1,1,1,0
476,5450,375,2,1,0,0,0
876,4750,1025,2,1,0,0,0
126,0,0,2,1,1,1,0
1026,8350,675,2,1,0,0,0
826,8450,975,2,1,0,0,0
726,0,0,2,1,0,0,0
676,5850,575,2,1,0,0,0
376,0,0,0,0,1,0,0
1026,0,475,2,1,1,1,0
476,7450,575,0,1,1,0,0
76,4650,675,0,0,1,0,0
726,5150,575,2,0,1,0,0
826,4250,625,2,1,1,0,0
26,8550,1025,2,1,0,0,0
676,7750,975,2,1,0,0,0
576,9950,875,2,0,0,1,a
376,10250,1075,2,1,0,0,0
576,13950,1025,2,1,1,1,0
426,6050,375,2,0,1,0,0
626,10850,1075,2,1,0,0,0
526,6450,475,2,1,0,0,0
926,4150,425,2,1,0,0,0
426,0,0,0,1,1,1,0
326,4050,375,2,1,1,1,0
176,0,0,2,0,1,0,0
176,4650,475,2,1,1,1,0
526,6750,525,2,1,1,0,0
576,2750,325,2,1,0,0,0
776,8050,725,2,1,0,0,0
576,12150,525,0,1,1,1,0
326,0,0,2,1,0,0,0
876,5350,575,0,1,1,1,0
1026,5850,625,2,0,1,0,0
726,4750,475,2,1,0,0,0
1026,18050,475,2,1,1,0,0
926,8150,1175,2,1,0,0,0
376,0,0,2,1,0,0,0
626,0,0,2,0,1,0,0
526,5850,525,2,1,0,0,0
326,7750,525,2,0,1,1,0
576,9850,825,2,1,0,0,0
676,3650,475,2,1,0,0,0
976,4650,1125,2,0,1,1,0
526,14650,1075,2,1,0,0,0
876,7350,825,2,1,0,0,0
576,12550,375,2,1,0,0,0
826,4950,575,2,1,1,1,0
126,7050,625,2,1,0,0,0
976,8350,875,2,1,0,0,0
426,7850,1125,2,1,1,1,0
76,9750,775,0,1,1,0,0
26,6850,775,0,1,0,0,0
426,0,0,2,0,1,0,0
76,5550,475,2,1,0,0,0
776,5050,725,2,0,1,0,0
776,7050,625,2,1,0,0,0
776,13350,575,2,1,0,0,0
226,0,0,2,0,1,0,0
126,7750,625,2,1,1,0,0
326,2750,275,2,0,1,0,0
26,3450,425,2,1,0,0,0
326,7750,3475,2,1,0,0,0
76,10550,2075,2,1,0,0,0
426,0,0,2,1,0,0,0
1026,0,0,2,1,1,0,0
326,6250,475,2,1,0,0,0
26,8350,825,2,1,0,0,0
826,0,0,2,1,1,1,0
176,11650,825,2,1,0,0,0
926,6350,775,2,1,0,0,0
476,10750,1025,2,1,0,0,0
726,4150,425,2,1,0,0,0
576,6550,575,2,1,0,0,0
176,8150,675,2,1,1,1,0
976,10450,575,0,1,1,0,0
476,11350,825,2,1,0,0,0
376,7550,975,0,1,1,1,0
226,3450,375,0,0,1,0,0
526,7650,175,2,1,0,0,0
376,8750,725,0,1,1,1,0
726,5650,575,2,1,0,0,0
626,6750,575,2,0,1,1,0
126,6150,575,2,1,1,1,0
226,3350,425,2,1,1,1,0
826,9850,1075,2,1,0,0,0
576,6550,525,2,1,1,0,0
576,9850,825,2,1,0,0,0
876,0,0,2,1,0,0,0
876,10150,1075,0,0,1,0,0
626,5250,575,2,1,0,0,0
976,4050,375,2,1,0,0,0
426,9250,925,2,1,0,0,0
526,7450,1025,0,1,0,1,0
76,7050,575,2,0,0,1,a
1076,9650,725,2,1,0,0,0
176,6950,1175,2,1,0,0,0
26,0,0,2,1,1,1,0
376,7150,575,2,1,0,0,0
126,6050,625,2,1,0,0,0
676,8250,1075,2,0,1,0,0
576,8650,875,2,1,0,0,0
1102,3850,475,2,1,0,0,0
76,4250,525,2,1,1,0,0
