,age,work class,count in census,education,education number,marital status,occupation,relationship,race,sex,capital gain,capital loss,hours per week,native country
0,Private,200841.0,HS-grad,13.0,Never-married,Craft-repair,Husband,White,Female,0.0,0.0,40.0,United-States,>50K
1,Self-emp-not-inc,330179.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
2,Private,191741.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,0.0,31.0,United-States,<=50K
3,Private,168758.0,HS-grad,13.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,United-States,<=50K
4,Private,106803.0,Bachelors,12.0,Married-civ-spouse,?,Husband,White,Female,0.0,0.0,40.0,United-States,<=50K
5,Private,103148.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,>50K
6,Private,275825.0,HS-grad,12.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
7,Private,195480.0,HS-grad,10.0,Divorced,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
8,Private,168690.0,Bachelors,9.0,Married-civ-spouse,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
9,Private,143597.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,36.0,United-States,>50K
10,Private,174338.0,HS-grad,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
11,Private,130534.0,Some-college,11.0,Never-married,?,Unmarried,White,Male,0.0,0.0,40.0,United-States,>50K
12,Private,164702.0,Some-college,13.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
13,Private,209605.0,Bachelors,13.0,Divorced,?,Own-child,White,Female,0.0,0.0,40.0,United-States,>50K
14,Private,396718.0,Bachelors,10.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
15,Private,180865.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,>50K
16,Private,214773.0,HS-grad,13.0,Never-married,Other-service,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
17,Private,119481.0,HS-grad,10.0,Married-civ-spouse,?,Not-in-family,White,Male,0.0,0.0,35.0,United-States,>50000
18,Private,109069.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
19,?,186448.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
20,Private,307363.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
21,Private,370303.0,Some-college,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22,Private,23115.0,HS-grad,13.0,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0.0,0.0,50.0,United-States,<=50K
23,Private,200780.0,Some-college,10.0,Never-married,Adm-clerical,Husband,White,Female,0.0,0.0,40.0,United-States,<=50K
24,Private,20658.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
25,Private,214693.0,10th,12.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
26,Private,136903.0,Some-college,13.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
27,Private,154744.0,Bachelors,10.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28,Private,109844.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,>50K
29,Private,189940.0,HS-grad,9.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
30,Private,171471.0,HS-grad,9.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31,Self-emp-not-inc,187910.0,Some-college,13.0,Married-civ-spouse,Exec-managerial,Own-child,White,Male,16639.0,0.0,50.0,United-States,<=50K
32,Private,226704.0,Some-college,10.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
33,Self-emp-inc,205079.0,Bachelors,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
34,Private,167408.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
35,Private,248926.0,HS-grad,11.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,30.0,United-States,>50K
36,Private,206756.0,Some-college,9.0,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,>50K
37,Private,131794.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
38,Private,248389.0,HS-grad,10.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
39,Private,153760.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,20.0,United-States,>50000
40,Private,191058.0,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
41,Private,253512.0,11th,10.0,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,0.0,0.0,20.0,United-States,<=50K
42,Private,150161.0,HS-grad,13.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
43,Private,104622.0,HS-grad,13.0,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0.0,0.0,23.0,United-States,>50K
44,Self-emp-not-inc,186079.0,11th,11.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
45,Private,178430.0,HS-grad,9.0,Never-married,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
46,Private,237637.0,HS-grad,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
47,Local-gov,114333.0,11th,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
48,Private,216569.0,Some-college,10.0,Never-married,Machine-op-inspct,Husband,White,Female,0.0,0.0,50.0,United-States,>50k
49,Private,283544.0,HS-grad,10.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50,Private,276391.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50000
51,Private,164740.0,HS-grad,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
52,Private,100054.0,11th,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
53,Private,270030.0,HS-grad,10.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,20.0,United-States,>50K
54,Private,303958.0,Bachelors,13.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
55,Private,189512.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
56,Private,160400.0,10th,13.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
57,Private,165873.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
58,Private,107792.0,HS-grad,9.0,Married-civ-spouse,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
59,Private,221151.0,Some-college,13.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
60,Private,195849.0,HS-grad,13.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,30.0,United-States,>50000
61,Private,160608.0,Bachelors,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,50.0,United-States,>50K
62,Private,180394.0,Assoc-voc,13.0,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
63,Private,132786.0,HS-grad,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
64,Private,210618.0,Some-college,9.0,Never-married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
65,Private,145566.0,Some-college,10.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
66,Private,195833.0,10th,13.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
67,Private,221931.0,HS-grad,10.0,Never-married,Exec-managerial,Husband,White,Female,0.0,0.0,40.0,United-States,>50K
68,Private,304075.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
69,Private,441210.0,10th,10.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0.0,0.0,30.0,United-States,>50k
70,Private,204000.0,Assoc-voc,13.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
71,Private,170930.0,Some-college,13.0,Married-civ-spouse,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
72,Private,194565.0,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,>50K
73,Private,156039.0,HS-grad,10.0,Never-married,Craft-repair,Husband,White,Female,0.0,0.0,40.0,United-States,<=50K
74,Private,237555.0,HS-grad,10.0,Married-civ-spouse,?,Own-child,White,Male,0.0,0.0,40.0,United-States,>50K
75,Private,136944.0,Assoc-acdm,10.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,>50k
76,Private,345200.0,HS-grad,10.0,Married-civ-spouse,?,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
77,Private,129600.0,HS-grad,13.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
78,Private,191359.0,HS-grad,10.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
79,Private,158650.0,10th,10.0,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
