,age,work class,count in census,education,education number,marital status,occupation,relationship,race,sex,capital gain,capital loss,hours per week,native country
0,Private,180409.0,HS-grad,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,Honduras
1,Private,238155.0,9th,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
2,Private,255508.0,HS-grad,13.0,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Honduras
3,Private,150315.0,HS-grad,13.0,Married-civ-spouse,Other-service,Husband,White,Female,0.0,0.0,40.0,United-States,Honduras
4,Private,106803.0,HS-grad,12.0,Married-civ-spouse,?,Not-in-family,White,Female,0.0,0.0,40.0,United-States,Haiti
5,Private,121483.0,HS-grad,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Honduras
6,Private,204375.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Canada
7,Private,358959.0,Bachelors,12.0,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0.0,0.0,42.0,United-States,Haiti
8,Private,244892.0,HS-grad,10.0,Never-married,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,Canada
9,Private,148748.0,Bachelors,13.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40.0,United-States,Honduras
10,Private,174338.0,HS-grad,13.0,Never-married,?,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
11,Private,31849.0,HS-grad,1.0,Never-married,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,Honduras
12,Private,164702.0,Some-college,10.0,Married-civ-spouse,Sales,Unmarried,White,Male,0.0,0.0,45.0,United-States,Canada
13,Private,107655.0,HS-grad,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,Honduras
14,Private,151194.0,Bachelors,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,Honduras
15,Private,391076.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Canada
16,Private,293096.0,Some-college,11.0,Never-married,Craft-repair,Husband,White,Female,0.0,0.0,40.0,United-States,?
17,Private,336145.0,Some-college,12.0,Never-married,?,Not-in-family,White,Male,0.0,0.0,40.0,United-States,South
18,Private,105609.0,HS-grad,1.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
19,Private,128025.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.0,20.0,United-States,Canada
20,Private,149636.0,Bachelors,11.0,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Canada
21,Private,314180.0,HS-grad,13.0,Never-married,Prof-specialty,Husband,White,Female,0.0,0.0,40.0,United-States,Other
22,Private,363331.0,HS-grad,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
23,Private,172023.0,Bachelors,12.0,Married-civ-spouse,Sales,Unmarried,White,Male,0.0,0.0,30.0,United-States,Canada
24,Private,120624.0,Some-college,12.0,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,Canada
25,Private,127665.0,HS-grad,11.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Other
26,Private,189035.0,10th,13.0,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50000
27,Private,125566.0,Some-college,12.0,Never-married,Transport-moving,Own-child,White,Female,0.0,0.0,50.0,United-States,<=500
28,Private,160358.0,Bachelors,11.0,Never-married,?,Unmarried,White,Male,0.0,0.0,35.0,United-States,<=500
29,Private,163013.0,Some-college,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,Other
30,Private,100550.0,HS-grad,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,United-States,<=500
31,Private,208747.0,HS-grad,10.0,Never-married,?,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50000
32,Private,145149.0,Some-college,11.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0.0,0.0,30.0,United-States,0
33,Private,107808.0,Some-college,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,645
