,Age,Gender,Marital Status,Occupation,Monthly Income,Education Qualifications,Family size,latitude,longtitude,Pin code,Order status,Customer Feedback
0,24.0,Male,Single,Student,No Income,Post Graduate,3.0,13.014,77.5491,560041.0,Yes,Positive
1,25.0,Female,Married,Employee,25001 to 50000,Graduate,5.0,12.977,77.5773,560003.0,Yes,Positive
2,25.0,Female,Single,Student,No Income,Post Graduate,2.0,12.9635,77.5821,560024.0,Yes,Positive
3,22.0,Male,Single,Student,No Income,Graduate,4.0,13.0012,77.5713,560017.0,Yes,Positive
4,24.0,Female,Single,Student,No Income,Post Graduate,2.0,12.9343,77.6044,560024.0,Yes,Positive
5,23.0,Female,Single,Student,No Income,Post Graduate,3.0,12.985,77.5533,560010.0,Yes,Positive
6,26.0,Male,Single,Employee,10001 to 25000,Post Graduate,3.0,12.9261,77.6221,560043.0,Yes,Positive
7,29.0,Female,Married,Employee,More than 50000,Graduate,6.0,12.9561,77.5921,560002.0,No,Positive
8,23.0,Female,Single,Student,No Income,Post Graduate,2.0,12.9343,77.6044,560042.0,Yes,Positive
9,23.0,Female,Single,Student,No Income,Post Graduate,2.0,12.9783,77.6408,560038.0,Yes,Positive
10,25.0,Female,Single,Student,No Income,Post Graduate,3.0,13.0078,77.6076,560029.0,Yes,Positive
11,23.0,Female,Single,Student,No Income,Post Graduate,3.0,12.9343,77.6044,560024.0,Yes,Positive
12,21.0,Male,Single,Student,No Income,Post Graduate,3.0,12.998,77.6804,560080.0,Yes,Positive
13,22.0,Female,Single,Student,No Income,Graduate,4.0,12.9048,77.6821,560036.0,Yes,Positive
14,24.0,Male,Single,Student,No Income,Graduate,2.0,13.0158,77.539,560024.0,Yes,Positive
15,30.0,Female,Married,Self Employeed,More than 50000,Ph.D,3.0,13.0019,77.5713,560006.0,Yes,Positive
16,23.0,Female,Single,Student,No Income,Graduate,3.0,13.0487,77.5484,560034.0,No,Negative
17,22.0,Female,Single,Student,No Income,Post Graduate,4.0,12.9217,77.5931,560076.0,Yes,Positive
18,24.0,Male,Single,Student,No Income,Post Graduate,2.0,12.977,77.5773,560096.0,Yes,Positive
19,21.0,Male,Single,Student,No Income,Post Graduate,2.0,12.9261,77.5796,560096.0,Yes,Positive
20,22.0,Male,Single,Student,No Income,Post Graduate,4.0,12.977,77.5773,560009.0,Yes,Positive
21,21.0,Male,Single,Student,No Income,Graduate,3.0,12.9783,77.6408,560038.0,No,Negative
22,27.0,Female,Married,Employee,More than 50000,Graduate,3.0,12.9967,77.6227,560076.0,Yes,Positive
23,24.0,Male,Single,Student,No Income,Post Graduate,5.0,12.9706,77.6529,560075.0,Yes,Positive
24,23.0,Male,Single,Student,No Income,Graduate,3.0,12.9698,77.75,560076.0,No,Negative
25,24.0,Male,Single,Student,No Income,Graduate,3.0,12.985,77.5533,560010.0,Yes,Positive
26,29.0,Male,Married,Self Employeed,More than 50000,Graduate,3.0,13.0103,77.5921,560007.0,Yes,Positive
27,22.0,Female,Single,Student,No Income,Post Graduate,4.0,12.9967,77.6227,560030.0,No,Negative
28,20.0,Male,Single,Student,No Income,Graduate,3.0,12.9343,77.5921,560034.0,Yes,Positive
29,24.0,Female,Single,Student,No Income,Post Graduate,4.0,12.9783,77.6408,560038.0,Yes,Positive
30,29.0,Male,Married,Employee,More than 50000,Graduate,3.0,12.977,77.5773,560018.0,No,Positive
31,22.0,Female,Single,Employee,25001 to 50000,Graduate,5.0,12.9343,77.6036,560076.0,Yes,Positive
32,23.0,Male,Single,Student,No Income,Graduate,2.0,13.0487,77.5936,560070.0,Yes,Positive
33,22.0,Female,Single,Student,No Income,Graduate,3.0,12.9343,77.6044,560027.0,Yes,Positive
34,25.0,Female,Married,Employee,25001 to 50000,Graduate,3.0,12.9783,77.6408,560003.0,Yes,Positive
35,25.0,Male,Single,Student,No Income,Graduate,3.0,12.9698,77.5658,560021.0,Yes,Positive
36,26.0,Male,Single,Employee,25001 to 50000,Post Graduate,2.0,12.957,77.5637,560011.0,Yes,Positive
37,22.0,Female,Single,Student,No Income,Graduate,3.0,13.0641,77.5936,560060.0,Yes,Positive
38,25.0,Male,Married,Employee,25001 to 50000,Post Graduate,3.0,12.9343,77.6044,560076.0,Yes,Positive
39,23.0,Female,Single,Student,No Income,Post Graduate,5.0,13.0019,77.5713,560003.0,Yes,Positive
40,26.0,Male,Single,Self Employeed,More than 50000,Post Graduate,5.0,13.0019,77.5713,560006.0,Yes,Positive
41,23.0,Female,Single,Employee,25001 to 50000,Graduate,2.0,12.9343,77.6044,560034.0,Yes,Positive
42,23.0,Female,Single,Student,No Income,Post Graduate,4.0,13.0496,77.5491,560018.0,Yes,Positive
43,32.0,Male,Married,Employee,25001 to 50000,Graduate,3.0,12.985,77.6256,560036.0,Yes,Positive
44,24.0,Female,Single,Student,No Income,Post Graduate,2.0,13.0487,77.5921,560032.0,Yes,Positive
45,23.0,Male,Single,Employee,More than 50000,Graduate,2.0,12.9662,77.6221,560036.0,Yes,Positive
46,26.0,Male,Married,Self Employeed,More than 50000,Ph.D,4.0,12.9261,77.6221,560061.0,No,Positive
47,22.0,Male,Single,Student,No Income,Post Graduate,5.0,12.985,77.5533,560018.0,Yes,Positive
48,23.0,Male,Single,Employee,25001 to 50000,Graduate,3.0,12.985,77.5533,560017.0,Yes,Positive
49,21.0,Male,Single,Student,No Income,Post Graduate,5.0,12.985,77.5533,560009.0,Yes,Positive
50,24.0,Male,Single,Student,No Income,Graduate,3.0,13.0487,77.5921,560024.0,Yes,Positive
51,23.0,Female,Single,Student,No Income,Post Graduate,3.0,12.9048,77.6221,560034.0,Yes,Positive
52,22.0,Female,Single,Student,No Income,Post Graduate,3.0,12.9217,77.5936,560030.0,Yes,Positive
53,25.0,Male,Married,Employee,25001 to 50000,Graduate,3.0,12.977,77.5773,560009.0,No,Negative
54,21.0,Female,Single,Student,No Income,Graduate,2.0,12.9306,77.6221,560029.0,Yes,Positive
55,29.0,Male,Married,Self Employeed,More than 50000,Graduate,3.0,12.9635,77.6221,560076.0,Yes,Positive
56,22.0,Male,Single,Student,No Income,Graduate,4.0,12.8845,77.6076,560070.0,Yes,Positive
57,24.0,Male,Single,Student,No Income,Post Graduate,2.0,12.977,77.5773,560009.0,Yes,Positive
58,24.0,Male,Single,Student,No Income,Graduate,2.0,12.9369,77.6407,560096.0,Yes,Positive
59,23.0,Female,Single,Student,No Income,Graduate,5.0,12.9579,77.6068,560034.0,Yes,Positive
60,26.0,Male,Married,Self Employeed,More than 50000,Graduate,3.0,12.9261,77.6221,560023.0,Yes,Positive
61,25.0,Male,Married,Employee,25001 to 50000,Post Graduate,2.0,13.0067,77.545,560014.0,Yes,Positive
62,23.0,Female,Single,Student,No Income,Post Graduate,3.0,12.9783,77.6408,560038.0,No,Negative
63,29.0,Male,Married,Self Employeed,More than 50000,Graduate,3.0,12.985,77.5533,560024.0,No,Negative
64,25.0,Male,Single,Self Employeed,More than 50000,Graduate,3.0,12.957,77.5713,560001.0,Yes,Positive
65,23.0,Male,Single,Student,No Income,Post Graduate,2.0,12.9551,77.6408,560009.0,Yes,Positive
66,24.0,Male,Single,Student,No Income,Graduate,4.0,12.985,77.5533,560010.0,Yes,Positive
67,24.0,Male,Single,Student,No Income,Post Graduate,5.0,12.985,77.5533,560010.0,Yes,Positive
68,23.0,Female,Single,Student,No Income,Post Graduate,2.0,12.977,77.5773,560010.0,Yes,Positive
69,26.0,Female,Single,Employee,25001 to 50000,Post Graduate,2.0,12.977,77.5773,560003.0,No,Negative
70,22.0,Female,Single,Student,No Income,Post Graduate,3.0,12.9119,77.5936,560061.0,Yes,Positive
71,22.0,Female,Single,Student,No Income,Graduate,4.0,12.9889,77.6399,560024.0,Yes,Positive
72,23.0,Male,Single,Student,No Income,Post Graduate,3.0,12.9706,77.5796,560038.0,Yes,Positive
73,25.0,Male,Single,Student,No Income,Graduate,3.0,13.0158,77.5586,560003.0,Yes,Positive
74,24.0,Male,Single,Student,No Income,Post Graduate,3.0,12.8845,77.6036,560076.0,Yes,Positive
75,23.0,Male,Single,Student,25001 to 50000,Post Graduate,2.0,13.0158,77.539,560023.0,Yes,Positive
76,26.0,Female,Married,Employee,10001 to 25000,Post Graduate,2.0,12.977,77.5773,560009.0,Yes,Positive
77,24.0,Male,Single,Employee,25001 to 50000,Graduate,4.0,13.0012,77.5936,560030.0,Yes,Positive
78,23.0,Male,Single,Student,No Income,Post Graduate,4.0,12.977,77.6408,560095.0,Yes,Positive
