,Age,Gender,Marital Status,Occupation,Monthly Income,Education Qualifications,Family size,latitude,longtitude,Pin code,Order status,Customer Feedback
0,21.0,Female,Married,House wife,10001 to 25000,School,3.0,12.998,77.558,560086.0,Yes,Positive
1,25.0,Female,Married,Student,25001 to 50000,Uneducated,6.0,12.941,77.7035,560049.0,Yes,Positive
2,29.0,Female,Single,House wife,No Income,Uneducated,3.0,12.8837,77.5438,560087.0,Yes,Positive
3,29.0,Male,Single,House wife,Below Rs.10000,Post Graduate,4.0,13.0996,77.5339,560075.0,No,Negative
4,25.0,Female,Married,House wife,No Income,Ph.D,4.0,13.0736,77.6748,560057.0,Yes,Positive
5,29.0,Female,Single,House wife,25001 to 50000,Graduate,3.0,12.8953,77.5366,560030.0,Yes,Negative
6,26.0,Female,Single,Employee,No Income,Post Graduate,6.0,12.9199,77.5721,560018.0,Yes,Negative
7,25.0,Male,Married,Student,10001 to 25000,Post Graduate,4.0,12.9094,77.5856,560002.0,Yes,Negative
8,28.0,Male,Single,Self Employeed,Below Rs.10000,Graduate,2.0,12.9748,77.5652,560073.0,No,Negative
9,28.0,Male,Single,Student,25001 to 50000,Graduate,1.0,12.9928,77.5567,560081.0,Yes,Negative
10,22.0,Female,Married,Student,Below Rs.10000,Graduate,3.0,13.0236,77.5378,560006.0,No,Positive
11,24.0,Female,Married,Employee,No Income,Ph.D,6.0,13.0742,77.6114,560033.0,Yes,Positive
12,29.0,Female,Single,House wife,No Income,School,6.0,12.8872,77.6586,560012.0,Yes,Positive
13,27.0,Female,Single,House wife,25001 to 50000,Post Graduate,1.0,13.0574,77.5661,560066.0,Yes,Positive
14,26.0,Female,Single,House wife,10001 to 25000,Graduate,1.0,12.9283,77.7341,560038.0,No,Positive
15,22.0,Male,Married,House wife,No Income,Graduate,4.0,12.8969,77.6891,560034.0,Yes,Negative
16,25.0,Male,Single,Employee,No Income,Ph.D,6.0,12.9765,77.5579,560017.0,Yes,Positive
17,24.0,Male,Single,Student,No Income,Ph.D,6.0,13.0964,77.5275,560025.0,Yes,Negative
18,26.0,Female,Married,Employee,25001 to 50000,Post Graduate,6.0,13.0839,77.5791,560049.0,Yes,Positive
19,21.0,Male,Single,Self Employeed,No Income,Graduate,3.0,12.8925,77.5143,560037.0,Yes,Positive
20,32.0,Female,Married,House wife,More than 50000,Post Graduate,5.0,13.0693,77.6919,560036.0,Yes,Negative
21,28.0,Male,Married,House wife,Below Rs.10000,Post Graduate,4.0,13.0888,77.7123,560008.0,Yes,Negative
22,23.0,Female,Single,Student,25001 to 50000,Graduate,6.0,13.0822,77.6699,560018.0,No,Positive
23,23.0,Female,Married,Self Employeed,25001 to 50000,Post Graduate,6.0,13.0767,77.5776,560012.0,Yes,Negative
24,22.0,Male,Married,Employee,No Income,Ph.D,6.0,12.9763,77.7134,560018.0,No,Positive
25,29.0,Male,Married,Employee,No Income,Graduate,6.0,12.9559,77.5741,560013.0,No,Positive
26,31.0,Male,Single,House wife,No Income,School,5.0,13.077,77.6242,560074.0,Yes,Negative
27,22.0,Male,Married,Employee,Below Rs.10000,Post Graduate,2.0,13.0678,77.5575,560046.0,No,Negative
28,31.0,Female,Single,Student,No Income,Graduate,4.0,12.9893,77.5135,560013.0,Yes,Negative
29,27.0,Female,Prefer not to say,Student,More than 50000,Graduate,5.0,12.8951,77.6478,560025.0,Yes,Positive
30,32.0,Female,Single,Employee,25001 to 50000,Graduate,3.0,13.0531,77.694,560083.0,Yes,Positive
31,25.0,Female,Married,House wife,25001 to 50000,Post Graduate,5.0,12.9667,77.5822,560045.0,Yes,Negative
32,23.0,Male,Single,Employee,No Income,Uneducated,4.0,13.0828,77.7392,560060.0,Yes,Positive
33,29.0,Male,Single,Employee,10001 to 25000,Ph.D,6.0,12.9639,77.7086,560038.0,Yes,Positive
34,28.0,Male,Single,Self Employeed,25001 to 50000,Post Graduate,4.0,12.988,77.5721,560010.0,No,Positive
35,28.0,Male,Prefer not to say,Self Employeed,No Income,Ph.D,4.0,12.9133,77.7516,560078.0,Yes,Negative
36,28.0,Female,Married,Employee,10001 to 25000,Graduate,4.0,13.0982,77.6926,560006.0,Yes,Positive
37,27.0,Male,Single,Employee,No Income,Graduate,2.0,13.0873,77.5139,560019.0,Yes,Positive
38,26.0,Male,Single,Employee,10001 to 25000,Ph.D,4.0,12.942,77.6685,560008.0,No,Positive
39,33.0,Male,Single,Employee,10001 to 25000,Ph.D,2.0,12.9525,77.5894,560017.0,Yes,Positive
40,23.0,Male,Single,House wife,No Income,Uneducated,3.0,12.9135,77.5296,560077.0,Yes,Negative
41,31.0,Male,Married,Self Employeed,25001 to 50000,Graduate,2.0,13.0926,77.5656,560036.0,No,Negative
42,22.0,Female,Single,Self Employeed,No Income,Ph.D,6.0,12.9645,77.7128,560010.0,Yes,Positive
43,23.0,Female,Married,Student,25001 to 50000,Graduate,2.0,12.929,77.5878,560036.0,Yes,Positive
44,21.0,Female,Married,Self Employeed,10001 to 25000,Graduate,5.0,12.8944,77.7422,560054.0,No,Positive
45,26.0,Male,Prefer not to say,House wife,No Income,Ph.D,5.0,13.0639,77.5891,560045.0,No,Positive
46,32.0,Female,Single,Self Employeed,No Income,School,6.0,13.0864,77.6452,560018.0,Yes,Positive
47,23.0,Male,Married,Self Employeed,25001 to 50000,Ph.D,4.0,12.9716,77.5173,560074.0,No,Negative
48,22.0,Male,Single,Employee,10001 to 25000,Uneducated,5.0,13.0266,77.5246,560073.0,Yes,Negative
49,21.0,Female,Single,Student,25001 to 50000,School,2.0,12.9344,77.5615,560026.0,No,Positive
50,29.0,Male,Single,Student,No Income,School,2.0,12.9349,77.5572,560013.0,Yes,Positive
51,32.0,Male,Single,House wife,25001 to 50000,Uneducated,5.0,12.9629,77.5622,560083.0,Yes,Positive
52,22.0,Female,Prefer not to say,House wife,25001 to 50000,School,6.0,12.8927,77.566,560004.0,No,Negative
53,21.0,Female,Single,Self Employeed,No Income,Post Graduate,3.0,12.9648,77.5536,560038.0,Yes,Positive
54,31.0,Male,Prefer not to say,Self Employeed,10001 to 25000,Uneducated,1.0,12.9272,77.6915,560020.0,Yes,Positive
55,29.0,Female,Single,Student,No Income,School,2.0,13.0555,77.5337,560048.0,Yes,Negative
56,24.0,Female,Single,Student,No Income,Post Graduate,6.0,12.914,77.7041,560053.0,Yes,Positive
57,29.0,Male,Single,Employee,More than 50000,Post Graduate,3.0,12.9595,77.702,560084.0,Yes,Negative
58,32.0,Male,Single,House wife,No Income,Uneducated,2.0,12.9726,77.5799,560006.0,Yes,Positive
59,21.0,Female,Single,Student,No Income,School,6.0,12.9375,77.6551,560018.0,Yes,Negative
60,26.0,Male,Single,Self Employeed,More than 50000,Ph.D,5.0,12.9173,77.7281,560077.0,Yes,Positive
61,22.0,Female,Married,Self Employeed,No Income,Uneducated,2.0,12.9934,77.713,560056.0,Yes,Positive
62,26.0,Female,Married,Self Employeed,No Income,Post Graduate,2.0,13.0599,77.5861,560062.0,Yes,Positive
63,29.0,Male,Single,Employee,No Income,Graduate,2.0,13.0786,77.697,560010.0,Yes,Negative
64,27.0,Female,Single,Employee,25001 to 50000,Post Graduate,1.0,13.0436,77.6051,560079.0,Yes,Positive
65,29.0,Female,Single,Employee,10001 to 25000,Graduate,3.0,12.948,77.7131,560021.0,Yes,Negative
66,32.0,Female,Married,House wife,No Income,Uneducated,5.0,12.9543,77.569,560060.0,No,Positive
67,22.0,Male,Single,Student,25001 to 50000,School,6.0,12.9315,77.6725,560009.0,No,Positive
68,27.0,Male,Single,Employee,25001 to 50000,Post Graduate,1.0,12.897,77.5868,560041.0,No,Positive
69,25.0,Female,Single,Student,25001 to 50000,Graduate,6.0,13.0536,77.6496,560089.0,Yes,Negative
70,25.0,Male,Married,Employee,No Income,Graduate,4.0,12.8949,77.7593,560091.0,Yes,Positive
71,27.0,Female,Single,House wife,10001 to 25000,Uneducated,4.0,12.9753,77.7044,560079.0,Yes,Positive
72,22.0,Male,Single,House wife,Below Rs.10000,Post Graduate,6.0,13.0436,77.5842,560076.0,Yes,Positive
73,31.0,Male,Single,Employee,10001 to 25000,Graduate,3.0,12.9121,77.5865,560073.0,Yes,Negative
74,25.0,Male,Married,House wife,More than 50000,Graduate,6.0,12.9581,77.6882,560029.0,Yes,Positive
75,23.0,Female,Single,Employee,25001 to 50000,Ph.D,2.0,12.9618,77.5425,560007.0,No,Positive
76,29.0,Female,Married,House wife,No Income,Graduate,1.0,12.9513,77.5736,560037.0,Yes,Positive
77,26.0,Female,Single,Student,No Income,Post Graduate,4.0,12.9336,77.5279,560047.0,No,Positive
78,30.0,Female,Single,Student,25001 to 50000,Post Graduate,6.0,12.8936,77.6658,560052.0,Yes,Positive
79,28.0,Male,Married,Employee,25001 to 50000,School,6.0,12.9512,77.7377,560052.0,Yes,Positive
80,28.0,Male,Single,House wife,Below Rs.10000,Graduate,4.0,13.0646,77.6125,560024.0,No,Positive
81,29.0,Female,Married,House wife,25001 to 50000,Graduate,6.0,12.989,77.5914,560084.0,Yes,Positive
82,25.0,Male,Single,Employee,10001 to 25000,Graduate,1.0,13.0684,77.5497,560009.0,No,Positive
83,22.0,Female,Prefer not to say,House wife,No Income,School,3.0,12.9766,77.5832,560088.0,No,Positive
84,32.0,Male,Prefer not to say,House wife,No Income,Post Graduate,2.0,13.0234,77.6669,560074.0,Yes,Positive
85,33.0,Male,Prefer not to say,Self Employeed,No Income,Post Graduate,2.0,12.8898,77.5448,560055.0,No,Positive
86,28.0,Female,Single,Student,25001 to 50000,School,6.0,12.9533,77.5221,560024.0,Yes,Negative
87,26.0,Female,Single,Self Employeed,Below Rs.10000,Post Graduate,2.0,12.9618,77.5265,560070.0,Yes,Negative
88,31.0,Female,Single,Employee,25001 to 50000,Uneducated,4.0,12.9869,77.6468,560024.0,No,Positive
