,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-122.18,38.07,13.0,3343.0,498.0,1265.0,478.0,5.3671,231700.0,NEAR BAY
1,-118.31,33.94,32.0,2145.0,589.0,1808.0,537.0,2.3148,139300.0,<1H OCEAN
2,-117.88,34.11,34.0,3377.0,718.0,2007.0,676.0,3.9107,170400.0,INLAND
3,-120.1,36.19,13.0,2660.0,483.0,1291.0,483.0,3.8177,90800.0,INLAND
4,-120.98,37.64,39.0,2686.0,629.0,1481.0,608.0,2.2574,70000.0,INLAND
5,-118.19,33.98,39.0,1239.0,264.0,629.0,273.0,4.0,162900.0,<1H OCEAN
6,-118.27,33.94,40.0,2040.0,526.0,2044.0,517.0,1.9122,92600.0,<1H OCEAN
7,-118.09,33.84,29.0,2461.0,557.0,1212.0,522.0,3.5272,182100.0,<1H OCEAN
8,-117.33,34.09,35.0,1375.0,254.0,1097.0,239.0,3.3516,80600.0,INLAND
9,-121.9,37.35,52.0,1212.0,311.0,631.0,308.0,3.5833,212500.0,<1H OCEAN
10,-118.29,33.96,43.0,2461.0,569.0,1777.0,514.0,1.9338,105800.0,<1H OCEAN
11,-117.84,33.78,21.0,4462.0,817.0,2446.0,788.0,4.9886,281500.0,<1H OCEAN
12,-119.7,34.38,19.0,4371.0,1072.0,3551.0,954.0,2.7727,231800.0,NEAR OCEAN
13,-122.3,37.97,45.0,2485.0,515.0,1411.0,528.0,3.0489,131900.0,NEAR BAY
14,-117.66,33.57,17.0,3090.0,575.0,1454.0,571.0,5.9164,292100.0,<1H OCEAN
15,-118.47,34.05,28.0,1721.0,251.0,769.0,289.0,6.5515,500001.0,<1H OCEAN
16,-118.15,34.02,43.0,2832.0,682.0,2296.0,657.0,2.5125,186900.0,<1H OCEAN
17,-117.53,33.92,16.0,2856.0,604.0,1692.0,576.0,3.0921,113500.0,INLAND
18,-122.68,38.07,39.0,1465.0,295.0,617.0,268.0,3.5156,289600.0,NEAR OCEAN
19,-122.12,37.7,27.0,2352.0,556.0,1487.0,535.0,3.8,207800.0,NEAR BAY
20,-118.33,33.79,33.0,2952.0,388.0,1002.0,380.0,15.0001,500001.0,NEAR OCEAN
21,-121.85,36.61,24.0,2263.0,528.0,2593.0,521.0,2.5417,158600.0,<1H OCEAN
22,-118.45,34.27,34.0,3149.0,888.0,3818.0,754.0,2.8239,157700.0,<1H OCEAN
23,-118.15,33.86,36.0,1116.0,187.0,514.0,208.0,5.3498,212600.0,<1H OCEAN
24,-122.14,37.44,52.0,2421.0,333.0,781.0,332.0,7.9887,500001.0,NEAR BAY
25,-118.42,34.09,15.0,3321.0,929.0,1340.0,832.0,3.1635,500001.0,<1H OCEAN
26,-121.04,37.67,24.0,1787.0,391.0,1237.0,388.0,1.9962,84700.0,INLAND
27,-117.37,33.2,34.0,2681.0,565.0,1341.0,514.0,4.2813,156800.0,NEAR OCEAN
