,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-118.0,33.0,37.0,2433.0,596.0,472.0,3021.0,8.0443,44967.0,NEAR BAY
1,-118.0,38.0,26.0,2964.0,2700.0,959.0,1367.0,3.0987,121146.0,<1H OCEAN
2,-118.0,38.0,9.049,1607.0,781.72,101.0,3669.0,2.0,4.5146,<1H OCEAN
3,-119.0,33.0,45.0,1404.0,2300.0,2186.0,729.0,11.049,452400.0,<1H OCEAN
4,-121.0,38.32,2.0,788.0,538.0,1429.0,2614.0,2.0,2800.0,INLAND
5,-117.0,34.0,15.0,1807.0,39.0,10100.0,586.0,2.5248,414000.0,NEAR BAY
6,-117.0,37.0,4.0,315.0,944.0,811.0,2117.0,11.068,2036.0,NEAR OCEAN
7,-122.0,37.0,7.0,315.0,587.0,1429.0,1733.0,5.0965,320000.0,NEAR OCEAN
8,-117.0,33.0,27.0,34300.0,2298.0,2700.0,1400.0,4.0,47300.0,INLAND
9,-118.0,37.0,19.0,626.0,437.0,691.0,3200.0,1.0,3200.0,<1H OCEAN
10,-117.0,33.0,52.0,1822.0,14.0,631.0,1403.0,7.0441,203800.0,NEAR OCEAN
11,-121.0,37.0,52.0,1208.0,5394.0,965.0,468.0,7.9761,3800.0,<1H OCEAN
12,-118.0,40.0,17.0,748.0,16.75,2700.0,1354.0,8.0474,3100.0,<1H OCEAN
13,-122.0,33.0,32.0,605.0,48.0,1042.0,3500.0,3.0,41284.0,NEAR OCEAN
14,-118.0,32.81,42.0,2584.0,564.0,7095.0,833.0,6.0666,3125.0,NEAR OCEAN
15,-117.0,34.0,6.0,1680.0,3482.0,706.0,441.0,3.0,287600.0,<1H OCEAN
16,-118.0,37.0,9.0,724.0,2300.0,87.0,2300.0,13.0,452800.0,<1H OCEAN
17,-118.0,37.03,19.0,1298.0,598.0,26000.0,598.0,1.2154,146400.0,INLAND
18,-117.0,34.0,33.0,1605.0,696.0,863.0,2729.0,4.9917,4700.0,<1H OCEAN
19,-120.0,37.0,17.0,3500.0,559.0,2200.0,605.0,2.0,70300.0,INLAND
20,-117.0,32.0,10.0,1774.0,711.0,26625.0,516.0,9.0056,120700.0,<1H OCEAN
