,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-118.28,34.01,36.0,686.0,208.0,716.0,221.0,1.6908,138800.0,<1H OCEAN
1,-119.18,36.21,34.0,1451.0,320.0,670.0,299.0,2.5179,48800.0,INLAND
2,-121.27,38.13,34.0,3824.0,752.0,1916.0,703.0,3.4107,109400.0,INLAND
3,-121.27,38.14,45.0,1713.0,496.0,793.0,479.0,2.8194,92200.0,INLAND
4,-120.69,38.13,17.0,2813.0,514.0,1439.0,463.0,2.3125,111800.0,INLAND
5,-117.87,34.1,48.0,2254.0,510.0,1489.0,503.0,2.9187,181800.0,<1H OCEAN
6,-117.67,34.08,20.0,2656.0,515.0,1454.0,474.0,3.0708,122700.0,INLAND
7,-118.35,34.02,41.0,1075.0,217.0,748.0,226.0,2.7143,240000.0,<1H OCEAN
8,-118.29,34.08,52.0,984.0,228.0,582.0,228.0,3.5242,312500.0,<1H OCEAN
9,-122.46,37.78,52.0,2813.0,493.0,1145.0,492.0,4.0536,500001.0,NEAR BAY
10,-118.36,34.08,52.0,154.0,519.0,519.0,48.0,2.7721,250000.0,<1H OCEAN
11,-118.27,33.99,19.0,2446.0,726.0,1647.0,654.0,2.3375,112500.0,<1H OCEAN
12,-122.43,37.76,45.0,3282.0,939.0,1799.0,838.0,4.2717,455000.0,NEAR BAY
13,-122.41,37.62,26.0,2339.0,585.0,1239.0,567.0,4.1146,273500.0,NEAR OCEAN
14,-121.94,37.3,35.0,1904.0,328.0,989.0,306.0,5.7039,244500.0,<1H OCEAN
15,-117.06,34.03,21.0,4893.0,846.0,2723.0,773.0,2.9479,99700.0,INLAND
16,-122.43,37.66,33.0,2275.0,471.0,1039.0,481.0,4.9079,343600.0,NEAR BAY
17,-117.34,34.16,20.0,6097.0,1051.0,1859.0,958.0,2.1764,95300.0,INLAND
18,-118.31,33.82,26.0,3422.0,567.0,1726.0,549.0,5.5594,295900.0,<1H OCEAN
19,-121.98,37.34,11.0,5492.0,1445.0,4066.0,1389.0,3.1662,237900.0,<1H OCEAN
20,-117.92,33.66,18.0,4974.0,713.0,2240.0,657.0,5.9356,272400.0,<1H OCEAN
21,-121.42,37.74,18.0,3158.0,581.0,1806.0,599.0,4.7,112900.0,INLAND
22,-121.36,39.1,16.0,1614.0,316.0,687.0,275.0,2.6964,137900.0,INLAND
23,-118.43,34.05,40.0,2914.0,524.0,1227.0,514.0,4.9079,500001.0,<1H OCEAN
24,-118.05,33.72,26.0,3051.0,581.0,1292.0,538.0,5.5196,282100.0,NEAR OCEAN
25,-118.42,34.05,41.0,1704.0,225.0,742.0,222.0,9.8098,500001.0,<1H OCEAN
26,-118.34,34.05,30.0,2228.0,845.0,3100.0,742.0,1.9945,170800.0,<1H OCEAN
27,-121.91,37.3,34.0,2183.0,373.0,1204.0,353.0,4.9359,225800.0,<1H OCEAN
28,-122.44,37.75,52.0,3154.0,574.0,1343.0,526.0,6.6264,500001.0,NEAR BAY
29,-118.17,33.66,43.0,3266.0,602.0,2300.0,604.0,3.125,258300.0,NEAR OCEAN
30,-117.22,32.75,33.0,3805.0,554.0,1086.0,519.0,4.8125,407500.0,NEAR OCEAN
31,-116.99,32.85,8.0,3487.0,849.0,2734.0,824.0,3.8085,163500.0,<1H OCEAN
32,-117.43,33.88,15.0,4983.0,828.0,2104.0,765.0,3.0441,108600.0,INLAND
33,-118.11,33.92,31.0,2917.0,584.0,1237.0,538.0,4.1618,235800.0,<1H OCEAN
34,-117.18,32.72,26.0,1650.0,441.0,866.0,429.0,3.0958,225000.0,NEAR OCEAN
35,-121.91,36.58,16.0,2846.0,573.0,1267.0,524.0,4.2562,345800.0,NEAR OCEAN
36,-119.8,34.44,27.0,1326.0,220.0,572.0,222.0,4.4196,242700.0,NEAR OCEAN
37,-117.95,33.77,20.0,3231.0,1112.0,3646.0,1061.0,3.2156,162100.0,<1H OCEAN
38,-118.48,34.01,33.0,1846.0,533.0,1722.0,509.0,3.6475,250000.0,<1H OCEAN
39,-118.27,33.82,48.0,1665.0,263.0,735.0,269.0,6.0783,255400.0,<1H OCEAN
40,-117.11,32.75,17.0,2355.0,369.0,1085.0,380.0,4.5795,146400.0,NEAR OCEAN
41,-119.8,36.76,25.0,2127.0,398.0,1045.0,388.0,2.9559,85100.0,INLAND
42,-117.42,34.09,35.0,2235.0,431.0,1341.0,454.0,2.9187,104800.0,INLAND
43,-117.86,34.1,34.0,4006.0,711.0,2540.0,719.0,3.6111,168600.0,<1H OCEAN
44,-117.2,32.78,33.0,4956.0,744.0,1818.0,724.0,6.2073,351200.0,NEAR OCEAN
45,-118.36,33.89,36.0,1789.0,309.0,855.0,330.0,4.8333,232600.0,<1H OCEAN
46,-122.46,37.74,42.0,1848.0,349.0,866.0,347.0,4.5556,330000.0,NEAR BAY
47,-117.72,33.62,28.0,3576.0,738.0,1653.0,677.0,3.9205,190900.0,<1H OCEAN
48,-119.77,36.82,15.0,2864.0,576.0,1634.0,569.0,3.0625,78400.0,INLAND
49,-118.09,34.07,26.0,1687.0,437.0,901.0,410.0,2.4722,160000.0,<1H OCEAN
50,-120.97,38.67,17.0,4497.0,1078.0,2133.0,1047.0,3.0,112500.0,INLAND
51,-121.04,37.67,34.0,2194.0,542.0,1211.0,506.0,2.3594,91300.0,INLAND
52,-118.5,33.97,38.0,3808.0,615.0,1684.0,601.0,4.0125,361100.0,<1H OCEAN
53,-122.26,37.77,34.0,3497.0,736.0,1519.0,705.0,2.9554,225000.0,NEAR BAY
54,-117.85,33.82,25.0,3418.0,914.0,3265.0,915.0,2.506,156900.0,<1H OCEAN
55,-118.3,34.03,27.0,6487.0,1006.0,3032.0,985.0,1.7083,247500.0,<1H OCEAN
56,-118.3,34.12,52.0,1764.0,251.0,682.0,267.0,8.2375,500001.0,<1H OCEAN
57,-118.44,33.99,38.0,2287.0,474.0,1222.0,432.0,5.0376,422000.0,<1H OCEAN
58,-117.28,34.11,27.0,1872.0,547.0,1025.0,543.0,1.3365,60400.0,INLAND
59,-118.37,34.02,27.0,3861.0,817.0,2098.0,833.0,2.065,158000.0,<1H OCEAN
60,-118.3,34.05,39.0,1031.0,284.0,819.0,258.0,2.6103,235000.0,<1H OCEAN
61,-118.41,34.0,35.0,1785.0,447.0,1343.0,419.0,3.3594,324000.0,<1H OCEAN
62,-118.3,33.95,37.0,1044.0,231.0,905.0,221.0,2.5,99600.0,<1H OCEAN
63,-117.37,33.79,34.0,1848.0,807.0,1758.0,794.0,1.5923,87700.0,NEAR OCEAN
64,-117.82,33.74,27.0,2066.0,579.0,1549.0,561.0,2.6298,187500.0,<1H OCEAN
65,-121.93,37.26,26.0,1578.0,286.0,866.0,275.0,5.7373,285700.0,<1H OCEAN
66,-121.88,38.03,31.0,3745.0,725.0,2268.0,669.0,3.5893,119300.0,INLAND
67,-122.25,38.11,4.0,3876.0,761.0,1617.0,734.0,4.0153,187500.0,NEAR BAY
68,-118.28,34.08,9.0,1823.0,471.0,983.0,468.0,2.4167,160000.0,<1H OCEAN
69,-117.2,32.8,23.0,2646.0,744.0,1285.0,679.0,2.0985,200000.0,NEAR OCEAN
70,-118.97,37.64,21.0,2559.0,518.0,1546.0,491.0,2.5221,93800.0,INLAND
71,-121.77,37.3,14.0,6071.0,1415.0,4483.0,1375.0,4.5,204300.0,<1H OCEAN
72,-118.1,33.81,36.0,2421.0,533.0,1484.0,516.0,3.6292,196100.0,<1H OCEAN
73,-118.49,34.03,33.0,3526.0,574.0,1616.0,564.0,5.2962,350400.0,<1H OCEAN
74,-118.2,33.89,38.0,2976.0,652.0,2581.0,594.0,2.0655,113900.0,<1H OCEAN
75,-120.18,39.39,8.0,1891.0,361.0,879.0,338.0,2.8603,127900.0,INLAND
76,-121.48,38.52,31.0,2276.0,472.0,1091.0,434.0,1.8026,105700.0,INLAND
77,-117.12,32.75,23.0,1649.0,553.0,795.0,538.0,2.1759,137500.0,NEAR OCEAN
78,-122.07,37.55,21.0,4194.0,851.0,2149.0,789.0,4.5524,181600.0,NEAR BAY
79,-118.34,34.08,52.0,1382.0,307.0,721.0,286.0,4.1563,218500.0,<1H OCEAN
80,-121.81,38.0,21.0,3979.0,717.0,2183.0,663.0,3.8703,142100.0,ISLAND
81,-121.42,38.68,17.0,3598.0,661.0,2327.0,621.0,4.2143,107600.0,INLAND
82,-121.32,38.64,33.0,2833.0,502.0,1342.0,459.0,4.1099,150000.0,INLAND
83,-118.13,34.16,33.0,1137.0,259.0,694.0,260.0,3.2813,227800.0,<1H OCEAN
84,-119.01,35.13,41.0,2372.0,631.0,1758.0,607.0,1.8152,47800.0,INLAND
85,-121.34,37.98,6.0,3426.0,717.0,1872.0,661.0,4.3906,142000.0,INLAND
86,-120.94,37.51,12.0,2924.0,543.0,1643.0,538.0,2.75,87800.0,INLAND
87,-118.06,33.92,34.0,2272.0,442.0,1265.0,442.0,4.8304,178400.0,<1H OCEAN
88,-122.43,37.78,52.0,2161.0,571.0,2276.0,544.0,2.5806,400000.0,NEAR BAY
89,-118.21,33.88,22.0,1804.0,552.0,1357.0,478.0,1.84,113600.0,<1H OCEAN
90,-119.75,34.44,23.0,2629.0,621.0,1647.0,557.0,3.67,279300.0,NEAR OCEAN
91,-121.22,37.81,17.0,2864.0,532.0,1357.0,496.0,4.1797,144600.0,INLAND
92,-121.3,38.72,16.0,4686.0,810.0,2147.0,805.0,3.8105,91900.0,INLAND
93,-117.93,33.84,36.0,810.0,168.0,561.0,176.0,4.375,218800.0,<1H OCEAN
94,-121.63,39.13,19.0,6638.0,1514.0,2725.0,1094.0,3.1642,118100.0,INLAND
95,-117.92,34.12,34.0,2492.0,,1221.0,516.0,3.5592,155600.0,<1H OCEAN
96,-120.57,40.39,9.0,2316.0,574.0,703.0,325.0,2.5,99600.0,INLAND
97,-117.05,32.56,31.0,3202.0,533.0,1511.0,522.0,3.5652,142000.0,NEAR OCEAN
98,-121.91,37.35,31.0,3257.0,688.0,1584.0,669.0,3.6,203700.0,<1H OCEAN
99,-121.43,38.55,38.0,1324.0,224.0,572.0,219.0,4.125,151500.0,INLAND
