,sepal length,sepal width,petal length,petal width,target
0,6.4,2.8,5.1,1.9,Iris-virginica
1,5.8,3.0,5.1,1.8,Iris-virginica
2,5.0,3.2,1.5,0.2,Iris-setosa
3,6.3,2.9,5.4,1.6,Iris-virginica
4,5.0,3.4,1.5,0.2,Iris-setosa
5,5.1,2.5,3.7,1.0,Iris-versicolor
6,5.8,2.7,3.9,1.2,Iris-versicolor
7,5.5,2.5,4.1,1.3,Iris-versicolor
8,5.5,3.2,1.5,0.2,Iris-setosa
9,5.8,3.2,4.9,1.7,Iris-setosa
10,7.7,3.4,6.4,2.1,Iris-virginica
11,5.0,3.4,1.4,0.2,Iris-setosa
12,5.0,3.0,1.6,0.2,Iris-setosa
13,5.0,3.8,1.6,0.4,Iris-setosa
14,6.4,3.2,4.3,1.3,Iris-versicolor
15,5.9,3.4,1.5,0.2,Iris-setosa
16,5.0,3.0,1.3,0.3,Iris-setosa
17,5.0,3.4,1.4,0.4,Iris-setosa
18,5.0,3.5,1.5,0.2,Iris-setosa
19,5.6,2.9,4.3,1.3,Iris-versicolor
20,6.3,3.2,5.6,2.3,Iris-virginica
21,6.0,2.8,4.5,1.2,Iris-versicolor
22,7.2,2.8,4.6,1.4,Iris-virginica
23,5.1,3.5,1.4,0.2,Iris-setosa
24,5.1,3.8,1.5,0.2,Iris-setosa
25,5.7,3.4,1.4,0.4,Iris-setosa
26,6.4,2.8,5.1,1.8,Iris-virginica
27,6.4,2.8,5.4,1.9,Iris-virginica
28,6.5,3.0,5.0,2.0,Iris-virginica
29,5.0,3.5,1.5,0.2,Iris-setosa
30,4.6,3.0,3.6,1.0,Iris-versicolor
31,7.3,2.8,6.2,1.6,Iris-versicolor
32,5.8,2.9,5.1,1.8,Iris-virginica
33,5.3,3.4,1.5,0.2,Iris-setosa
34,6.1,3.4,4.2,1.5,Iris-versicolor
35,4.6,3.2,1.3,0.2,Iris-setosa
36,6.4,2.9,5.6,1.8,Iris-virginica
37,5.1,3.4,1.4,0.2,Iris-setosa
38,5.0,3.4,1.3,0.4,Iris-setosa
39,5.8,2.7,5.1,2.3,Iris-virginica
40,6.8,2.8,5.7,2.4,Iris-virginica
41,6.1,3.2,5.5,1.8,Iris-virginica
42,6.2,3.0,5.5,2.0,Iris-virginica
