,sepal length,sepal width,petal length,petal width,target
0,6.6,3.2,6.0,0.5,Iris-virginica
1,5.3,3.9,1.4,0.4,Iris-virginica
2,6.2,3.2,1.3,1.2,Iris-setosa
3,6.0,2.8,4.2,1.8,Iris-versicolor
4,5.7,3.5,2.3,0.6,Iris-versicolor
5,7.8,3.5,6.4,1.7,Iris-versicolor
6,6.5,2.5,5.3,2.2,Iris-virginica
7,6.0,3.5,1.4,1.1,Iris-versicolor
8,5.7,3.3,1.8,1.7,Iris-versicolor
9,6.0,3.1,5.3,1.3,Iris-setosa
10,5.1,2.5,6.0,0.8,Iris-versicolor
11,5.1,3.5,3.4,1.9,Iris-virginica
12,5.8,2.2,1.0,1.2,Iris-virginica
13,5.7,3.1,1.1,1.9,Iris-versicolor
14,5.5,3.5,3.3,1.6,Iris-setosa
15,6.5,3.2,1.7,0.3,Iris-versicolor
16,5.0,3.2,2.6,0.5,Iris-setosa
17,5.2,2.4,4.8,1.5,Iris-setosa
18,5.8,3.7,4.6,0.4,Iris-virginica
19,7.4,3.1,1.3,1.2,Iris-versicolor
20,5.6,3.2,3.8,0.3,Iris-versicolor
21,4.6,2.1,1.3,1.6,Iris-versicolor
22,6.9,2.4,2.4,1.0,Iris-virginica
23,5.4,2.4,4.6,0.5,Iris-setosa
24,5.0,3.6,6.6,1.4,Iris-setosa
25,5.2,3.2,1.0,1.4,Iris-virginica
26,5.7,3.2,3.2,0.4,Iris-setosa
27,6.9,3.9,1.4,2.4,Iris-versicolor
28,5.1,3.4,1.3,0.6,Iris-virginica
29,6.0,3.2,1.0,0.7,Iris-virginica
30,5.0,4.1,5.2,1.9,Iris-virginica
31,7.0,3.5,1.9,1.9,Iris-virginica
32,6.2,3.5,4.2,0.5,Iris-setosa
33,6.2,2.5,5.8,1.0,Iris-setosa
34,6.2,3.5,5.7,0.8,Iris-versicolor
35,5.4,2.0,5.4,1.2,Iris-setosa
36,5.3,3.5,3.4,0.6,Iris-setosa
37,5.8,4.2,5.8,1.8,Iris-virginica
38,6.0,2.1,1.8,1.8,Iris-virginica
39,5.5,3.3,3.7,0.7,Iris-virginica
40,4.7,3.7,3.4,0.4,Iris-virginica
41,5.7,3.3,6.9,1.9,Iris-versicolor
42,5.4,2.1,2.3,1.5,Iris-setosa
43,5.4,3.1,3.3,0.6,Iris-setosa
44,5.0,3.2,5.1,0.2,Iris-setosa
45,6.2,3.7,1.3,1.0,Iris-setosa
46,7.8,3.7,1.0,0.1,Iris-virginica
47,5.6,2.7,1.3,0.5,Iris-setosa
48,6.2,2.3,1.9,1.4,Iris-setosa
49,5.2,3.2,4.9,1.5,Iris-setosa
50,6.5,3.4,4.9,0.5,Iris-virginica
51,6.8,3.2,1.3,1.2,Iris-virginica
52,5.4,2.5,4.6,1.4,Iris-virginica
53,5.5,3.4,1.4,2.4,Iris-virginica
54,5.5,3.9,1.3,0.6,Iris-versicolor
55,6.2,4.2,3.2,1.8,Iris-setosa
56,5.0,3.9,3.2,1.1,Iris-setosa
57,5.8,3.2,3.2,1.8,Iris-virginica
58,5.2,2.6,5.3,0.5,Iris-setosa
59,6.1,3.7,5.8,0.6,Iris-versicolor
60,7.2,2.2,1.4,1.9,Iris-setosa
61,5.9,4.2,4.8,1.1,Iris-versicolor
62,5.1,3.2,4.9,0.4,Iris-virginica
63,5.6,2.5,2.4,1.5,Iris-setosa
64,5.8,4.1,1.1,1.1,Iris-virginica
65,4.7,3.5,1.6,1.9,Iris-versicolor
66,5.5,2.5,1.5,1.5,Iris-versicolor
67,6.3,2.7,3.3,1.1,Iris-setosa
68,5.4,4.2,4.5,1.2,Iris-setosa
69,5.1,3.9,4.8,1.1,Iris-versicolor
70,4.7,4.2,4.8,1.5,Iris-versicolor
71,6.0,3.0,1.4,2.4,Iris-setosa
72,4.5,3.7,1.6,0.4,Iris-versicolor
73,5.7,3.9,1.2,2.3,Iris-versicolor
74,4.8,4.2,2.7,1.7,Iris-virginica
75,7.0,3.0,4.1,1.5,Iris-versicolor
76,6.3,3.2,1.3,1.7,Iris-virginica
77,6.0,2.4,1.0,1.4,Iris-versicolor
78,5.4,3.6,5.4,0.5,Iris-virginica
79,5.1,3.7,1.9,0.6,Iris-virginica
80,7.2,3.9,1.4,1.4,Iris-virginica
