,sepal length,sepal width,petal length,petal width,target
0,5.4,3.3,1.5,0.2,Iris-versicolor
1,5.2,3.4,1.5,0.2,Iris-setosa
2,5.9,3.3,1.5,0.2,Iris-setosa
3,6.2,3.1,1.9,0.1,Iris-setosa
4,5.9,3.4,1.7,0.2,Iris-setosa
5,5.8,3.2,4.3,1.7,Iris-versicolor
6,5.9,3.5,4.3,1.5,Iris-virginica
7,6.7,3.0,5.5,1.5,Iris-versicolor
8,5.1,3.5,1.6,0.2,Iris-setosa
9,5.5,3.2,4.2,1.3,Iris-setosa
10,5.4,3.5,1.3,0.1,Iris-setosa
11,5.5,3.0,1.5,0.2,Iris-setosa
12,5.0,3.4,1.5,0.3,Iris-setosa
13,6.1,3.8,5.1,1.5,Iris-versicolor
14,5.1,3.5,0.2,1.2,Iris-setosa
15,6.0,2.5,5.0,1.5,Iris-versicolor
16,5.3,2.9,0.2,1.2,Iris-setosa
17,5.8,3.2,1.4,1.9,Iris-setosa
18,6.5,2.6,5.2,1.7,Iris-versicolor
19,5.7,2.7,4.5,1.1,Iris-setosa
20,4.7,3.0,4.9,1.4,Iris-setosa
21,5.7,3.5,1.5,0.2,Iris-setosa
22,6.4,3.4,3.2,1.4,Iris-setosa
23,6.1,3.5,5.1,1.8,Iris-versicolor
24,5.0,3.0,5.1,1.4,Iris-setosa
25,5.7,3.3,1.9,0.2,Iris-setosa
26,5.3,3.2,1.4,1.9,Iris-setosa
27,6.6,3.5,5.1,1.4,Iris-versicolor
28,5.3,3.3,4.2,1.5,Iris-setosa
29,5.1,2.7,1.5,0.2,Iris-setosa
30,6.2,3.0,5.2,1.9,Iris-setosa
31,5.5,3.3,4.8,1.4,Iris-versicolor
32,5.9,2.7,5.5,1.4,Iris-setosa
33,4.4,1.7,4.5,1.1,Iris-versicolor
34,5.5,3.4,1.4,0.2,Iris-setosa
35,5.5,3.5,2.2,1.0,Iris-setosa
36,5.9,3.4,4.7,1.4,Iris-versicolor
37,6.5,3.4,5.1,1.5,Iris-versicolor
38,5.5,3.7,0.4,1.8,Iris-setosa
39,6.3,2.9,5.1,1.7,Iris-setosa
40,5.9,3.5,1.8,1.5,Iris-versicolor
41,5.8,3.1,3.4,1.4,Iris-versicolor
42,5.8,3.2,1.9,1.9,Iris-setosa
43,6.3,3.3,5.1,1.5,Iris-versicolor
44,5.9,3.0,4.5,1.5,Iris-virginica
45,5.2,3.0,3.3,1.2,Iris-setosa
46,5.5,2.7,1.5,0.2,Iris-setosa
47,5.1,3.5,1.4,2.0,Iris-setosa
48,4.9,3.0,1.4,0.2,Iris-setosa
49,5.1,3.5,1.2,0.2,Iris-setosa
50,4.9,3.3,4.7,1.4,Iris-versicolor
51,5.2,2.8,4.9,1.3,Iris-versicolor
52,4.9,2.1,3.5,1.0,Iris-versicolor
53,4.9,3.4,1.7,0.2,Iris-versicolor
54,5.2,2.9,1.5,0.2,Iris-setosa
55,5.1,3.4,4.8,1.9,Iris-versicolor
56,5.2,3.4,1.5,0.2,Iris-setosa
57,5.9,3.6,4.5,1.3,Iris-versicolor
58,5.7,3.1,0.2,1.8,Iris-setosa
59,6.4,2.3,5.4,1.6,Iris-versicolor
60,4.7,3.2,1.4,0.2,Iris-setosa
61,5.6,3.5,5.1,2.3,Iris-setosa
62,5.1,3.0,1.5,0.1,Iris-setosa
63,4.8,3.4,1.6,0.1,Iris-versicolor
64,5.7,3.0,1.8,0.2,Iris-setosa
65,5.5,3.1,1.4,0.2,Iris-versicolor
66,5.7,3.2,3.1,1.3,Iris-versicolor
67,6.6,3.0,5.1,1.5,Iris-versicolor
68,5.1,3.5,1.2,0.2,Iris-setosa
69,5.8,3.5,4.9,2.5,Iris-versicolor
70,5.7,3.8,1.9,0.2,Iris-versicolor
71,5.0,2.5,4.5,1.0,Iris-versicolor
72,4.7,3.0,5.2,1.4,Iris-setosa
73,5.6,2.7,1.5,1.4,Iris-setosa
74,5.4,3.0,1.3,0.2,Iris-versicolor
75,5.4,3.1,1.5,0.2,Iris-setosa
76,5.4,3.5,1.7,0.2,Iris-versicolor
77,5.6,3.1,1.6,0.2,Iris-setosa
78,6.2,3.3,1.9,0.2,Iris-setosa
79,5.2,3.4,1.5,0.3,Iris-setosa
80,4.6,3.1,1.6,0.6,Iris-setosa
81,6.0,3.0,4.8,1.5,Iris-versicolor
82,5.4,3.0,1.5,0.2,Iris-versicolor
83,4.4,3.0,5.5,1.4,Iris-setosa
84,5.2,2.9,1.9,0.3,Iris-setosa
85,6.1,2.8,5.5,1.8,Iris-versicolor
86,4.9,3.1,1.8,0.1,Iris-versicolor
87,4.5,3.0,1.7,0.1,Iris-setosa
88,5.1,3.0,1.6,0.8,Iris-setosa
89,6.4,3.5,5.0,1.9,Iris-versicolor
90,5.6,3.0,3.9,1.5,Iris-versicolor
91,5.5,3.0,1.9,0.1,Iris-setosa
92,5.1,3.0,3.4,0.8,Iris-setosa
93,4.9,3.0,5.1,1.4,Iris-versicolor
94,5.1,3.5,4.6,1.5,Iris-setosa
95,5.2,3.1,4.7,1.3,Iris-versicolor
96,5.1,3.5,1.4,2.2,Iris-setosa
97,5.1,3.0,5.0,1.4,Iris-setosa
98,5.7,2.4,4.6,1.7,Iris-versicolor
99,4.2,3.1,1.7,1.4,Iris-versicolor
100,6.3,3.7,5.2,1.5,Iris-setosa
101,5.4,3.1,1.4,0.1,Iris-setosa
102,4.7,3.0,1.2,0.4,Iris-setosa
103,5.8,3.0,4.6,1.5,Iris-virginica
104,4.8,3.2,1.7,0.2,Iris-setosa
105,5.1,2.5,4.0,1.5,Iris-setosa
106,4.8,2.1,1.9,0.2,Iris-setosa
107,5.7,3.0,5.3,1.7,Iris-setosa
108,5.1,3.5,1.9,0.4,Iris-setosa
109,5.5,3.0,1.4,1.1,Iris-setosa
110,5.8,2.4,4.5,1.4,Iris-virginica
111,5.5,3.0,4.5,1.4,Iris-setosa
112,5.5,2.7,3.2,1.4,Iris-versicolor
113,4.8,3.3,5.5,1.6,Iris-versicolor
114,6.6,3.0,5.1,1.4,Iris-versicolor
115,4.7,3.5,1.9,0.2,Iris-setosa
116,5.5,2.7,4.1,1.5,Iris-versicolor
117,5.4,3.0,3.3,1.5,Iris-setosa
118,5.5,2.8,3.8,1.3,Iris-versicolor
119,6.6,2.6,4.2,1.7,Iris-versicolor
120,5.1,3.2,1.6,0.2,Iris-setosa
121,5.3,3.5,4.8,1.4,Iris-versicolor
122,4.9,3.1,5.2,1.7,Iris-setosa
123,5.1,3.5,2.1,0.3,Iris-setosa
124,5.1,3.5,4.3,1.5,Iris-setosa
125,5.7,3.4,1.5,0.1,Iris-versicolor
126,6.3,3.5,5.0,2.0,Iris-versicolor
127,4.8,3.0,1.5,0.2,Iris-setosa
128,5.8,3.5,1.7,0.2,Iris-setosa
129,5.3,3.2,1.8,0.2,Iris-setosa
130,4.7,3.0,4.3,1.5,Iris-setosa
131,5.7,3.2,4.8,1.4,Iris-setosa
132,5.1,2.8,1.6,0.2,Iris-setosa
133,5.1,3.5,5.1,1.4,Iris-setosa
134,5.1,3.5,1.8,2.4,Iris-setosa
135,5.9,3.0,4.3,1.4,Iris-setosa
136,6.3,2.7,1.5,0.0,Iris-setosa
137,3.4,1.3,1.2,0.2,Iris-setosa
138,5.1,3.5,5.0,1.4,Iris-setosa
139,5.7,3.0,4.1,1.7,Iris-versicolor
140,6.1,3.2,5.5,2.2,Iris-setosa
141,4.9,3.1,5.3,1.4,Iris-setosa
142,4.9,3.0,5.2,1.4,Iris-setosa
143,4.4,2.6,1.4,0.2,Iris-setosa
144,6.7,3.1,5.7,1.5,Iris-setosa
145,5.1,3.2,1.5,0.2,Iris-setosa
146,5.5,3.0,0.2,1.5,Iris-setosa
147,6.3,3.0,5.7,1.9,Iris-setosa
148,5.1,3.5,4.1,1.4,Iris-setosa
149,4.9,3.0,5.3,1.7,Iris-setosa
