,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,7.0,a,c,586.0,1.0,1908.0,1.0,22.0,2014.0,Jan
1,905.0,d,a,52060.0,,,0.0,22.0,2014.0,Jan
2,910.0,d,a,43745.0,11.0,1938.0,0.0,,2014.0,Mar
3,710.0,a,c,40370.0,10.0,1982.0,0.0,14.0,2010.0,Jan
4,584.0,a,a,569.0,11.0,,0.0,40.0,2013.0,Feb
5,60551.0,a,a,,,1955.0,0.0,,,Jan
6,513.0,a,a,44646.0,11.0,2012.0,0.0,,2013.0,Mar
7,255.0,d,c,13429.0,4.0,1980.0,1.0,,2011.0,Jan
8,40.0,d,c,40340.0,,2015.0,0.0,,2014.0,Jan
9,765.0,c,c,5.0,5.0,1946.0,0.0,,2013.0,Jan
10,710.0,a,a,710.0,,,0.0,,2010.0,Jan
11,477.0,d,a,46718.0,11.0,2005.0,0.0,14.0,,Mar
12,973.0,c,a,15.0,1.0,,0.0,,,Jan
13,906.0,a,a,710.0,1.0,2005.0,0.0,12.0,,Jan
14,1085.0,a,c,70920.0,4.0,2001.0,0.0,,2013.0,Jan
15,910.0,a,a,,1.0,1924.0,0.0,,,Jan
16,910.0,d,c,,2.0,2007.0,1.0,,,Jan
17,870.0,d,a,936.0,4.0,2013.0,0.0,,2010.0,Jan
18,910.0,a,c,10561.0,4.0,,1.0,,2013.0,Feb
19,940.0,d,a,14105.0,9.0,2001.0,1.0,37.0,2010.0,Jan
20,1060.0,a,a,,1.0,,0.0,,2012.0,Jan
21,631.0,d,a,7.0,3.0,,0.0,,,Jan
22,625.0,c,a,,,,0.0,27.0,,Jan
23,1063.0,c,a,71054.0,5.0,,,,2011.0,Jan
24,803.0,c,a,,5.0,1915.0,0.0,,2011.0,Jan
25,976.0,d,c,,1.0,,1.0,,,Mar
26,1073.0,a,c,57021.0,1.0,,1.0,,,Feb
27,604.0,a,a,57616.0,1.0,1932.0,1.0,,2009.0,Jan
28,734.0,a,c,,9.0,,1.0,,,Jan
29,1109.0,c,c,,8.0,2009.0,0.0,,,Jan
30,910.0,c,c,,1.0,2007.0,0.0,,2009.0,Jan
31,860.0,d,a,51820.0,7.0,2013.0,0.0,14.0,,Jan
32,1113.0,a,a,41085.0,9.0,2012.0,0.0,1.0,,Jan
33,710.0,a,,,,,0.0,,,Mar
34,462.0,c,a,,,2012.0,1.0,12.0,,Jan
35,1023.0,d,a,,1.0,1930.0,1.0,27.0,2011.0,Feb
36,520.0,a,a,64630.0,1.0,2005.0,0.0,,,Feb
37,556.0,c,c,495.0,9.0,2011.0,,,,Feb
38,489.0,d,a,37179.0,,2012.0,0.0,,2013.0,Jan
39,830.0,d,a,56744.0,1.0,,0.0,18.0,,Feb
40,905.0,a,a,,4.0,,0.0,,2011.0,Jan
41,692.0,d,a,,,,1.0,,,Feb
42,611.0,a,a,,9.0,,1.0,14.0,2011.0,Feb
43,1034.0,d,a,54265.0,11.0,2007.0,0.0,,2010.0,Jan
44,837.0,a,a,14359.0,1.0,2012.0,0.0,,2012.0,Jan
45,742.0,c,a,,9.0,2005.0,1.0,,2012.0,Feb
46,571.0,a,c,,8.0,1998.0,0.0,,2014.0,Jan
47,710.0,d,a,63113.0,2.0,2013.0,0.0,,2011.0,Jan
48,631.0,a,a,936.0,11.0,1932.0,1.0,,2012.0,Jan
49,1010.0,a,c,12.0,,2011.0,1.0,28.0,2014.0,Jan
50,926.0,a,a,,,,0.0,,,Jan
51,1010.0,c,a,,11.0,2004.0,0.0,,,Mar
52,1060.0,a,a,,9.0,1900.0,0.0,,,Mar
53,57.0,a,c,35641.0,7.0,1998.0,,,,Mar
54,805.0,a,a,4037.0,9.0,1955.0,0.0,37.0,2012.0,Jan
55,905.0,a,a,,,2003.0,0.0,,,Mar
56,520.0,,a,,,,0.0,31.0,,Jan
57,607.0,d,a,46360.0,2.0,,1.0,22.0,2009.0,Feb
58,1060.0,a,c,,2.0,2005.0,0.0,,2011.0,Jan
59,1060.0,d,c,40340.99,1.0,2013.0,0.0,4.0,2011.0,Jan
60,1091.0,c,a,,9.0,2005.0,0.0,,2009.0,Feb
61,958.0,c,c,64559.0,,,1.0,,2013.0,Jan
62,376.0,a,a,,,,1.0,,,Jan
63,958.0,a,a,,,2006.0,0.0,12.0,2011.0,Feb
64,830.0,a,a,48108.0,,2005.0,1.0,,,Jan
65,1000.0,c,a,,,2014.0,0.0,,2011.0,Mar
66,,a,a,40609.0,9.0,,0.0,,2009.0,Mar
67,928.0,b,a,,9.0,2002.0,0.0,,2011.0,Jan
68,1023.0,d,a,48395.0,1.0,2001.0,0.0,6.0,2014.0,Jan
69,667.0,a,a,40395.0,10.0,,1.0,6.0,2010.0,Jan
70,994.0,d,c,14776.0,6.0,2008.0,0.0,12.0,,Jan
71,605.0,c,a,66194.0,10.0,,0.0,,,Feb
72,119.0,a,a,53598.0,4.0,1950.0,0.0,,2009.0,Feb
73,914.0,d,c,34893.0,10.0,,0.0,,2009.0,Jan
74,784.0,d,a,37385.91,4.0,1938.0,0.0,14.0,2010.0,Jan
75,975.0,a,a,710.0,1.0,2001.0,0.0,,2011.0,Jan
76,597.0,a,a,14669.0,1.0,1922.0,0.0,40.0,2014.0,Jan
77,466.0,d,a,27443.0,10.0,2008.0,0.0,14.0,2009.0,Feb
78,810.0,a,c,68703.0,1.0,2005.0,1.0,,2012.0,Mar
79,760.0,a,c,50597.0,6.0,2011.0,1.0,,2009.0,Mar
80,1073.0,a,a,,4.0,,1.0,37.0,2011.0,Jan
81,910.0,a,a,40403.23,1.0,2001.0,0.0,,2010.0,Jan
82,669.0,a,c,,4.0,2008.0,,,,Jan
83,844.0,c,a,40225.0,11.0,,0.0,,,Feb
84,860.0,d,a,40940.0,,2008.0,0.0,,,Mar
85,597.0,d,c,,7.0,1987.0,0.0,,2009.0,Jan
86,1042.0,d,a,71054.0,1.0,2001.0,1.0,,2009.0,Jan
87,1000.0,a,a,,,1930.0,0.0,9.0,2011.0,Jan
88,984.0,d,a,50974.0,4.0,,0.0,,,Feb
89,1109.0,a,c,70763.0,11.0,2013.0,0.0,,,Jan
90,870.0,a,c,40225.0,1.0,2008.0,1.0,25.0,2009.0,Jan
91,414.0,a,a,52806.0,2.0,2001.0,0.0,12.0,2013.0,Jan
92,710.0,c,c,,7.0,2001.0,1.0,22.0,2011.0,Mar
93,937.0,c,a,,,1922.0,0.0,,,Mar
94,905.0,,c,,,,0.0,,2013.0,Jan
95,880.0,d,c,43750.0,11.0,,1.0,14.0,2014.0,Mar
96,710.0,a,a,45192.0,10.0,1935.0,0.0,,,Feb
97,715.0,a,a,,5.0,1990.0,1.0,,,Jan
98,629.0,a,a,569.0,1.0,2014.0,0.0,13.0,2013.0,Jan
99,710.0,c,a,,6.0,2008.0,0.0,,2009.0,Mar
100,985.0,c,c,40557.0,9.0,2004.0,0.0,,,Jan
101,1060.0,d,c,,,,0.0,,2010.0,Mar
102,9.0,c,a,63667.0,11.0,1912.0,1.0,12.0,,Feb
103,138.0,a,a,20778.0,1.0,1900.0,,,,Feb
104,584.0,c,a,,11.0,1971.0,1.0,,2011.0,Jan
105,1030.0,a,c,70740.0,,,0.0,,,Jan
106,185.0,a,a,40557.0,5.0,2005.0,,,,Jan
107,669.0,a,a,,,,0.0,12.0,2013.0,Feb
108,984.0,c,a,,4.0,2003.0,1.0,12.0,2009.0,Jan
109,976.0,c,a,40682.0,11.0,2009.0,0.0,23.0,,Jan
110,936.0,a,a,6790.0,9.0,1951.0,1.0,14.0,,Feb
111,376.0,d,c,14751.0,6.0,,0.0,40.0,,Feb
112,910.0,a,a,10679.0,,2007.0,1.0,,,Jan
113,940.0,d,a,,10.0,2005.0,1.0,,2014.0,Jan
114,424.0,c,a,,1.0,,0.0,,,Feb
115,,a,a,45948.0,1.0,2009.0,1.0,,,Jan
116,590.0,d,c,4.0,5.0,,0.0,,,Jan
117,860.0,d,c,,7.0,2013.0,1.0,40.0,,Jan
118,364.0,d,a,71054.0,9.0,,,,2012.0,Feb
119,910.0,a,a,,5.0,2007.0,1.0,,,Mar
120,1060.0,c,a,,9.0,2013.0,0.0,,2009.0,Jan
121,935.0,a,c,65335.0,11.0,,0.0,36.0,2013.0,Jan
122,260.0,d,a,5682.0,9.0,1965.0,0.0,14.0,2013.0,Jan
123,1109.0,a,a,73872.0,11.0,2014.0,0.0,,2009.0,Feb
124,454.0,c,c,,11.0,,1.0,,2014.0,Feb
125,742.0,c,a,14651.0,10.0,1924.0,1.0,,,Jan
126,513.0,d,c,40225.0,10.0,1982.0,0.0,,2014.0,Feb
127,910.0,d,a,9197.0,8.0,2005.0,0.0,37.0,2011.0,Feb
128,994.0,a,c,,11.0,2007.0,0.0,12.0,2012.0,Jan
129,651.0,a,a,,4.0,2005.0,0.0,13.0,,Jan
130,676.0,a,a,9197.0,10.0,1950.0,0.0,,2011.0,Jan
131,810.0,d,c,,1.0,,0.0,31.0,2012.0,Feb
132,,a,c,,1.0,,1.0,,,Mar
133,910.0,d,a,,9.0,2005.0,1.0,12.0,,Jan
134,586.0,a,a,45119.0,10.0,2013.0,1.0,,2011.0,Jan
135,267.0,a,a,55884.0,6.0,1980.0,1.0,10.0,2009.0,Feb
136,590.0,c,a,,1.0,1980.0,1.0,14.0,2011.0,Jan
137,663.0,d,a,,6.0,2010.0,1.0,,2011.0,Mar
138,910.0,a,c,,4.0,,0.0,31.0,,Feb
139,1029.0,a,a,5569.0,9.0,2007.0,0.0,12.0,,Jan
140,710.0,d,c,53507.0,5.0,2003.0,0.0,,,Jan
141,1059.0,a,a,,11.0,2008.0,1.0,10.0,2011.0,Jan
142,810.0,a,a,51770.0,,,0.0,,,Mar
143,910.0,a,a,40332.64,6.0,,1.0,,2013.0,Mar
144,,c,a,,,,1.0,,2013.0,Jan
145,1060.0,d,c,13153.0,9.0,2011.0,0.0,,2011.0,Jan
146,1050.0,a,a,940.0,5.0,,0.0,,2012.0,Jan
147,713.0,d,c,,4.0,,1.0,10.0,,Mar
148,918.0,d,c,410.0,11.0,,0.0,,2011.0,Jan
149,37.0,d,a,46718.0,1.0,2003.0,0.0,,,Jan
150,769.0,d,c,37262.0,9.0,1950.0,1.0,,,Jan
151,730.0,a,a,,10.0,2008.0,1.0,,,Mar
152,111.0,a,c,,1.0,2013.0,1.0,,2014.0,Jan
153,860.0,d,c,,1.0,1907.0,1.0,,2013.0,Mar
154,688.0,c,a,,1.0,,0.0,,2014.0,Feb
155,534.0,d,a,,,,0.0,,,Feb
156,1010.0,d,a,,9.0,2008.0,0.0,20.0,2013.0,Feb
157,985.0,c,a,64171.0,11.0,1950.0,0.0,,,Jan
158,810.0,d,a,,7.0,,0.0,14.0,2014.0,Jan
159,1060.0,a,c,586.0,1.0,1998.0,0.0,14.0,2012.0,Jan
160,592.0,a,c,51536.0,11.0,2011.0,0.0,,2012.0,Jan
161,910.0,a,a,66455.0,9.0,2001.0,,,,Jan
162,710.0,d,c,4.0,4.0,,1.0,21.0,2013.0,Jan
163,128.0,d,c,,9.0,2011.0,0.0,,2010.0,Feb
164,936.0,a,c,40225.0,9.0,2006.0,0.0,,2012.0,Jan
165,797.0,a,a,1337.0,10.0,2009.0,0.0,37.0,2012.0,Jan
166,1030.0,a,c,,4.0,2013.0,0.0,,,Feb
167,1113.0,a,c,1204.0,9.0,2007.0,1.0,,2012.0,Feb
168,690.0,c,c,8338.99,,,0.0,,2011.0,Jan
169,513.0,a,a,12893.0,1.0,2013.0,0.0,,2011.0,Jan
170,746.0,a,a,27160.47,11.0,1955.0,0.0,,2011.0,Jan
171,,a,a,40507.0,4.0,2011.0,,,,Jan
172,718.0,a,a,,1.0,,0.0,,2014.0,Mar
173,626.0,a,a,,6.0,2005.0,0.0,,2014.0,Jan
174,1061.0,d,c,54710.0,1.0,2011.0,1.0,13.0,2014.0,Jan
175,50.0,c,a,6512.0,9.0,2004.0,1.0,,2009.0,Feb
176,386.0,d,a,,9.0,1930.0,1.0,,,Jan
177,9.0,a,a,74583.0,9.0,,1.0,,2009.0,Jan
178,860.0,c,a,62979.0,,1942.0,1.0,,2010.0,Jan
179,715.0,c,a,70740.0,11.0,2001.0,0.0,,,Jan
180,805.0,c,c,,,,0.0,,2013.0,Feb
181,860.0,c,a,51804.0,4.0,2014.0,0.0,22.0,2012.0,Jan
182,1000.0,a,a,67371.0,1.0,2008.0,0.0,,,Jan
183,797.0,c,a,61881.0,1.0,2008.0,1.0,,2013.0,Jan
184,7.0,a,a,586.0,11.0,2008.0,1.0,,,Jan
185,111.0,d,a,,11.0,2011.0,1.0,,2009.0,Feb
186,860.0,d,a,59697.0,3.0,2005.0,0.0,11.0,2009.0,Jan
187,994.0,d,c,14751.0,,1947.0,0.0,45.0,,Mar
188,994.0,a,c,,11.0,1924.0,0.0,17.0,2010.0,Jan
189,526.0,a,a,,11.0,2002.0,1.0,,2014.0,Feb
190,860.0,d,a,,4.0,2005.0,0.0,,,Feb
191,710.0,d,c,,1.0,1954.0,0.0,,2013.0,Jan
192,1089.0,c,a,,9.0,2009.0,0.0,,2012.0,Feb
193,910.0,a,a,40340.0,1.0,2007.0,1.0,,2013.0,Jan
194,910.0,a,a,2892.0,9.0,2003.0,1.0,,,Feb
195,995.0,a,c,73585.0,,2011.0,0.0,,2014.0,Feb
196,590.0,c,a,4.0,4.0,2012.0,0.0,,,Mar
197,1054.0,a,c,,9.0,2012.0,0.0,27.0,2013.0,Jan
198,1060.0,d,a,51859.0,8.0,1987.0,1.0,,,Jan
199,910.0,a,c,27335.0,,,0.0,,,Feb
200,860.0,d,c,12.0,4.0,,0.0,,,Jan
201,910.0,c,c,,1.0,,1.0,37.0,2010.0,Jan
202,910.0,a,a,,,2011.0,1.0,,,Mar
203,1006.0,d,a,5795.0,,2005.0,1.0,22.0,2012.0,Jan
204,1063.0,a,a,,,,0.0,,,Jan
205,960.0,a,a,60266.57,,2007.0,0.0,,,Mar
206,940.0,a,a,14429.0,1.0,1953.0,0.0,,,Jan
207,860.0,d,c,40682.0,1.0,2013.0,0.0,10.0,2013.0,Jan
208,7.0,a,c,63585.0,6.0,2009.0,1.0,31.0,,Jan
209,442.0,d,a,,1.0,2014.0,0.0,4.0,2011.0,Jan
210,513.0,c,a,50760.0,3.0,2005.0,0.0,14.0,,Jan
211,479.0,a,a,52710.0,1.0,2008.0,0.0,40.0,,Jan
212,707.0,a,c,,1.0,2015.0,,7.0,2013.0,Jan
213,1060.0,a,a,,9.0,2010.0,0.0,,2014.0,Jan
