,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
0,604.0,5.0,2015-07-22,5777.0,797.0,1.0,0.0,0,0.0
1,574.0,5.0,2015-06-07,538.0,594.0,1.0,0.0,0,0.0
2,652.0,4.0,2015-07-21,0.0,0.0,1.0,0.0,0,0.0
3,1115.0,5.0,2015-07-28,0.0,587.0,1.0,0.0,0,0.0
4,672.0,1.0,2015-07-24,5457.0,0.0,1.0,0.0,0,0.0
5,740.0,6.0,2015-06-17,5120.0,811.0,1.0,0.0,0,0.0
6,494.0,6.0,2015-07-22,1064.0,535.0,1.0,0.0,0,0.0
7,926.0,1.0,2015-07-27,599.0,988.0,1.0,1.0,0,0.0
8,988.0,4.0,2015-07-09,5307.0,684.0,1.0,1.0,0,0.0
9,662.0,6.0,2015-06-01,9708.0,668.0,1.0,0.0,0,0.0
10,593.0,7.0,2015-06-07,4782.0,931.0,1.0,0.0,0,0.0
11,648.0,5.0,2015-07-30,0.0,0.0,1.0,1.0,0,0.0
12,758.0,4.0,2015-06-26,6097.0,4118.0,0.0,0.0,0,1.0
13,837.0,4.0,2015-06-03,5981.0,643.0,1.0,1.0,0,0.0
14,727.0,7.0,2015-06-09,9063.0,0.0,1.0,0.0,0,0.0
15,596.0,7.0,2015-07-25,7753.0,675.0,1.0,1.0,0,1.0
16,564.0,7.0,2015-07-01,6071.0,0.0,1.0,0.0,0,0.0
17,986.0,1.0,2015-07-07,8058.0,763.0,1.0,1.0,0,0.0
18,847.0,2.0,2015-06-30,796.0,0.0,1.0,0.0,0,0.0
19,1069.0,3.0,2015-06-17,8053.0,832.0,1.0,0.0,0,0.0
20,1098.0,3.0,2015-07-18,0.0,1086.0,1.0,0.0,0,0.0
21,1037.0,4.0,2015-07-03,4881.0,849.0,1.0,0.0,0,1.0
22,623.0,5.0,2015-07-15,5558.0,479.0,1.0,0.0,0,0.0
23,546.0,7.0,2015-07-11,4925.0,712.0,1.0,0.0,0,1.0
24,735.0,4.0,2015-06-12,1275.0,635.0,1.0,0.0,0,0.0
25,555.0,7.0,2015-06-11,6314.0,797.0,1.0,0.0,0,0.0
26,539.0,3.0,2015-06-30,0.0,1086.0,1.0,1.0,0,0.0
27,1112.0,1.0,2015-07-26,7011.0,463.0,1.0,0.0,0,0.0
28,684.0,2.0,2015-06-03,6653.0,534.0,1.0,0.0,0,0.0
29,847.0,2.0,2015-07-15,8869.0,0.0,1.0,1.0,0,0.0
30,537.0,1.0,2015-06-28,5589.0,715.0,1.0,1.0,0,0.0
31,1061.0,3.0,2015-07-06,4243.0,645.0,1.0,1.0,0,0.0
32,1028.0,6.0,2015-07-06,6691.0,735.0,0.0,0.0,0,0.0
33,881.0,1.0,2015-06-13,0.0,637.0,1.0,1.0,0,0.0
34,796.0,1.0,2015-06-17,7085.0,841.0,1.0,1.0,0,0.0
35,904.0,3.0,2015-06-02,0.0,883.0,1.0,0.0,0,0.0
36,883.0,6.0,2015-07-30,10267.0,572.0,1.0,0.0,0,0.0
37,453.0,2.0,2015-07-20,7093.0,587.0,1.0,1.0,0,0.0
38,676.0,2.0,2015-06-01,5248.0,839.0,1.0,1.0,0,0.0
39,556.0,6.0,2015-07-18,6366.0,746.0,1.0,0.0,0,0.0
40,961.0,4.0,2015-06-03,7753.0,1188.0,1.0,0.0,0,1.0
41,469.0,2.0,2015-07-21,8813.0,576.0,1.0,1.0,0,0.0
42,591.0,2.0,2015-07-02,5497.0,515.0,1.0,0.0,0,0.0
43,446.0,3.0,2015-07-18,572.0,897.0,1.0,0.0,0,0.0
44,649.0,4.0,2015-06-13,6892.0,0.0,1.0,0.0,0,0.0
45,948.0,7.0,2015-07-24,0.0,538.0,0.0,1.0,0,0.0
46,962.0,1.0,2015-06-01,496.0,447.0,1.0,0.0,0,0.0
47,487.0,2.0,2015-06-02,0.0,0.0,1.0,0.0,0,0.0
48,966.0,7.0,2015-06-27,0.0,1122.0,1.0,0.0,0,0.0
49,574.0,4.0,2015-06-15,6094.0,0.0,1.0,0.0,0,0.0
50,605.0,4.0,2015-07-17,7395.0,538.0,1.0,1.0,0,0.0
51,966.0,3.0,2015-06-27,7063.0,733.0,0.0,1.0,0,0.0
52,564.0,5.0,2015-07-29,0.0,0.0,0.0,1.0,0,0.0
53,587.0,3.0,2015-06-11,5801.0,789.0,1.0,1.0,0,1.0
54,585.0,1.0,2015-06-21,6778.0,961.0,1.0,1.0,0,1.0
55,917.0,5.0,2015-06-10,539.0,0.0,1.0,1.0,0,0.0
56,564.0,4.0,2015-07-31,4814.0,654.0,0.0,1.0,0,0.0
57,648.0,1.0,2015-07-14,4962.0,764.0,1.0,0.0,0,0.0
58,642.0,1.0,2015-06-07,6113.0,819.0,1.0,0.0,0,0.0
59,798.0,5.0,2015-07-25,1030.0,712.0,0.0,0.0,0,0.0
60,827.0,1.0,2015-06-23,5910.0,587.0,1.0,0.0,0,0.0
61,954.0,2.0,2015-07-08,5120.0,0.0,1.0,1.0,0,0.0
62,519.0,6.0,2015-06-30,0.0,807.0,1.0,0.0,0,0.0
63,755.0,5.0,2015-07-06,5761.0,0.0,1.0,0.0,0,0.0
64,696.0,3.0,2015-07-22,6098.0,624.0,1.0,0.0,0,0.0
65,998.0,1.0,2015-07-15,7862.0,48.0,1.0,0.0,0,0.0
66,810.0,4.0,2015-07-01,5991.0,668.0,1.0,1.0,0,0.0
67,755.0,1.0,2015-07-15,439.0,1373.0,1.0,1.0,0,0.0
68,1109.0,6.0,2015-07-20,5777.0,577.0,1.0,1.0,0,0.0
69,832.0,3.0,2015-06-25,6091.0,0.0,0.0,0.0,0,0.0
70,684.0,2.0,2015-07-08,576.0,589.0,1.0,0.0,0,0.0
71,796.0,3.0,2015-06-23,6092.0,822.0,1.0,1.0,0,0.0
72,526.0,2.0,2015-06-15,7189.0,474.0,1.0,1.0,0,0.0
73,648.0,5.0,2015-06-23,3306.0,886.0,0.0,0.0,0,1.0
74,713.0,3.0,2015-07-04,576.0,784.0,0.0,0.0,0,0.0
75,706.0,1.0,2015-07-19,1481.0,889.0,1.0,1.0,0,0.0
76,678.0,5.0,2015-06-14,5653.0,651.0,1.0,0.0,0,0.0
