Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
1,5,2015-07-31,5263.0,555.0,1.0,1,0,1,
2,5,2015-07-31,6064.0,625.0,1.0,1,0,1,
3,5,2015-07-31,8314.0,821.0,1.0,1,0,1,
4,5,2015-07-31,13995.0,1498.0,1.0,1,0,1,
5,5,2015-07-31,4822.0,559.0,1.0,1,0,1,
6,5,2015-07-31,5651.0,589.0,1.0,1,0,1,
7,5,2015-07-31,15344.0,1414.0,1.0,1,0,1,
8,5,2015-07-31,8492.0,833.0,1.0,1,0,1,
9,5,2015-07-31,8565.0,687.0,1.0,1,0,1,
10,5,2015-07-31,7185.0,681.0,1.0,1,0,1,
11,5,2015-07-31,10457.0,1236.0,1.0,1,0,1,
13,5,2015-07-31,8821.0,568.0,1.0,1,0,0,
14,5,2015-07-31,6544.0,710.0,1.0,1,0,1,
15,5,2015-07-31,9191.0,766.0,1.0,1,0,1,
16,5,2015-07-31,10231.0,979.0,1.0,1,0,1,
17,5,2015-07-31,8430.0,946.0,1.0,1,0,1,
18,5,2015-07-31,10071.0,936.0,1.0,1,0,1,
19,5,2015-07-31,8234.0,718.0,1.0,1,0,1,
21,5,2015-07-31,9515.0,682.0,1.0,1,0,1,
22,5,2015-07-31,6566.0,633.0,1.0,1,0,0,
23,5,2015-07-31,7273.0,560.0,1.0,1,0,1,
27,5,2015-07-31,13213.0,1263.0,1.0,1,0,1,
28,5,2015-07-31,7301.0,663.0,1.0,1,0,1,
30,5,2015-07-31,4776.0,625.0,1.0,1,0,1,
31,5,2015-07-31,7248.0,645.0,1.0,1,0,1,
32,5,2015-07-31,6395.0,635.0,1.0,1,0,0,
34,5,2015-07-31,11144.0,1162.0,1.0,1,0,1,
35,5,2015-07-31,12412.0,777.0,1.0,1,0,1,
36,5,2015-07-31,12422.0,1251.0,1.0,1,0,0,
38,5,2015-07-31,7434.0,608.0,1.0,1,0,1,
39,5,2015-07-31,8336.0,929.0,1.0,1,0,1,
40,5,2015-07-31,5464.0,678.0,1.0,1,0,1,
41,5,2015-07-31,6938.0,494.0,1.0,1,0,0,
43,5,2015-07-31,8096.0,683.0,1.0,1,0,1,
45,5,2015-07-31,6301.0,442.0,1.0,1,0,1,
46,5,2015-07-31,7628.0,775.0,1.0,1,0,0,
47,5,2015-07-31,9379.0,1021.0,1.0,1,0,1,
48,5,2015-07-31,3874.0,390.0,1.0,1,0,1,
49,5,2015-07-31,10310.0,666.0,1.0,1,0,1,
50,5,2015-07-31,5729.0,441.0,1.0,1,0,1,
51,5,2015-07-31,9198.0,610.0,1.0,1,0,0,
52,5,2015-07-31,8031.0,527.0,1.0,1,0,0,
53,5,2015-07-31,7540.0,690.0,1.0,1,0,1,
54,5,2015-07-31,10732.0,889.0,1.0,1,0,1,
55,5,2015-07-31,6096.0,673.0,1.0,1,0,1,
56,5,2015-07-31,10022.0,619.0,1.0,1,0,1,
57,5,2015-07-31,11594.0,1025.0,1.0,1,0,1,
60,5,2015-07-31,9762.0,776.0,1.0,1,0,1,
61,5,2015-07-31,5572.0,665.0,1.0,1,0,1,
62,5,2015-07-31,7495.0,772.0,1.0,1,0,1,
63,5,2015-07-31,11525.0,846.0,1.0,1,0,1,
64,5,2015-07-31,13251.0,935.0,1.0,1,0,1,
65,5,2015-07-31,7156.0,561.0,1.0,1,0,1,
66,5,2015-07-31,8306.0,636.0,1.0,1,0,1,
67,5,2015-07-31,11035.0,912.0,1.0,1,0,1,
69,5,2015-07-31,11204.0,1371.0,1.0,1,0,1,
70,5,2015-07-31,8613.0,741.0,1.0,1,0,1,
71,5,2015-07-31,11545.0,869.0,1.0,1,0,1,
72,5,2015-07-31,5251.0,520.0,1.0,1,0,0,
74,5,2015-07-31,7518.0,929.0,1.0,1,0,1,
75,5,2015-07-31,7444.0,807.0,1.0,1,0,1,
76,5,2015-07-31,12887.0,1228.0,1.0,1,0,0,
77,5,2015-07-31,10335.0,780.0,1.0,1,0,1,
78,5,2015-07-31,5712.0,610.0,1.0,1,0,1,
79,5,2015-07-31,7150.0,643.0,1.0,1,0,1,
80,5,2015-07-31,9810.0,675.0,1.0,1,0,1,
82,5,2015-07-31,11492.0,1035.0,1.0,1,0,1,
