DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
5,2015-07-31,10134.0,769.0,1.0,1,0,1,
4,2015-07-30,9090.0,716.0,1.0,1,0,1,
3,2015-07-29,7253.0,614.0,1.0,1,0,1,
2,2015-07-28,7593.0,630.0,1.0,1,0,1,
1,2015-07-27,9739.0,727.0,1.0,1,0,1,
7,2015-07-26,0.0,0.0,0.0,0,0,0,
6,2015-07-25,4898.0,485.0,1.0,0,0,0,
5,2015-07-24,5303.0,513.0,1.0,0,0,0,
4,2015-07-23,5968.0,567.0,1.0,0,0,0,
3,2015-07-22,5248.0,457.0,1.0,0,0,0,
2,2015-07-21,6023.0,512.0,1.0,0,0,0,
1,2015-07-20,7384.0,614.0,1.0,0,0,0,
7,2015-07-19,0.0,0.0,0.0,0,0,0,
6,2015-07-18,6547.0,498.0,1.0,0,0,0,
5,2015-07-17,7914.0,619.0,1.0,1,0,0,
4,2015-07-16,7766.0,625.0,1.0,1,0,0,
3,2015-07-15,6703.0,620.0,1.0,1,0,0,
2,2015-07-14,7678.0,625.0,1.0,1,0,0,
1,2015-07-13,9771.0,668.0,1.0,1,0,0,
7,2015-07-12,0.0,0.0,0.0,0,0,0,
6,2015-07-11,6084.0,566.0,1.0,0,0,0,
5,2015-07-10,7568.0,554.0,1.0,0,0,0,
4,2015-07-09,5763.0,528.0,1.0,0,0,0,
3,2015-07-08,8086.0,619.0,1.0,0,0,0,
2,2015-07-07,5612.0,485.0,1.0,0,0,0,
1,2015-07-06,6396.0,625.0,1.0,0,0,0,
7,2015-07-05,0.0,0.0,0.0,0,0,0,
6,2015-07-04,5182.0,517.0,1.0,0,0,0,
5,2015-07-03,7897.0,614.0,1.0,1,0,0,
4,2015-07-02,6949.0,603.0,1.0,1,0,0,
3,2015-07-01,7291.0,598.0,1.0,1,0,0,
2,2015-06-30,8565.0,566.0,1.0,1,0,0,
1,2015-06-29,7745.0,630.0,1.0,1,0,0,
7,2015-06-28,0.0,0.0,0.0,0,0,0,
6,2015-06-27,6905.0,520.0,1.0,0,0,0,
5,2015-06-26,4953.0,515.0,1.0,0,0,0,
4,2015-06-25,4944.0,501.0,1.0,0,0,0,
3,2015-06-24,5048.0,465.0,1.0,0,0,0,
2,2015-06-23,5842.0,513.0,1.0,0,0,0,
1,2015-06-22,4443.0,450.0,1.0,0,0,0,
7,2015-06-21,0.0,0.0,0.0,0,0,0,
6,2015-06-20,7067.0,511.0,1.0,0,0,0,
5,2015-06-19,8171.0,608.0,1.0,1,0,0,
4,2015-06-18,7537.0,625.0,1.0,1,0,0,
3,2015-06-17,7118.0,566.0,1.0,1,0,0,
2,2015-06-16,8094.0,662.0,1.0,1,0,0,
1,2015-06-15,8156.0,662.0,1.0,1,0,0,
7,2015-06-14,0.0,0.0,0.0,0,0,0,
6,2015-06-13,6419.0,538.0,1.0,0,0,0,
5,2015-06-12,5954.0,559.0,1.0,0,0,0,
4,2015-06-11,4865.0,538.0,1.0,0,0,0,
3,2015-06-10,5791.0,489.0,1.0,0,0,0,
2,2015-06-09,5299.0,471.0,1.0,0,0,0,
1,2015-06-08,5982.0,603.0,1.0,0,0,0,
7,2015-06-07,0.0,0.0,0.0,0,0,0,
6,2015-06-06,7168.0,617.0,1.0,0,0,0,
5,2015-06-05,7619.0,633.0,1.0,1,0,0,
4,2015-06-04,0.0,0.0,0.0,1,a,0,
3,2015-06-03,7426.0,652.0,1.0,1,0,0,
2,2015-06-02,8086.0,651.0,1.0,1,0,0,
1,2015-06-01,8646.0,630.0,1.0,1,0,0,
4,2015-09-17,,,1.0,1,0,0,612.0
3,2015-09-16,,,1.0,1,0,0,1483.0
2,2015-09-15,,,1.0,1,0,0,2536.0
1,2015-09-14,,,1.0,1,0,0,3259.0
7,2015-09-13,,,0.0,0,0,0,3675.0
6,2015-09-12,,,1.0,0,0,0,5126.0
5,2015-09-11,,,1.0,0,0,0,5747.0
4,2015-09-10,,,1.0,0,0,0,6718.0
3,2015-09-09,,,1.0,0,0,0,7007.0
2,2015-09-08,,,1.0,0,0,0,8209.0
1,2015-09-07,,,1.0,0,0,0,8818.0
7,2015-09-06,,,0.0,0,0,0,9818.0
6,2015-09-05,,,1.0,0,0,0,11043.0
5,2015-09-04,,,1.0,1,0,1,11469.0
4,2015-09-03,,,1.0,1,0,1,12624.0
3,2015-09-02,,,1.0,1,0,1,13151.0
2,2015-09-01,,,1.0,1,0,1,14016.0
1,2015-08-31,,,1.0,1,0,1,14760.0
7,2015-08-30,,,0.0,0,0,1,15667.0
6,2015-08-29,,,1.0,0,0,1,16457.0
5,2015-08-28,,,1.0,0,0,1,17453.0
4,2015-08-27,,,1.0,0,0,1,18826.0
3,2015-08-26,,,1.0,0,0,1,19392.0
2,2015-08-25,,,1.0,0,0,1,20469.0
1,2015-08-24,,,1.0,0,0,1,21210.0
7,2015-08-23,,,0.0,0,0,1,21517.0
6,2015-08-22,,,1.0,0,0,1,22437.0
5,2015-08-21,,,1.0,1,0,1,23402.0
4,2015-08-20,,,1.0,1,0,1,24227.0
3,2015-08-19,,,1.0,1,0,1,25587.0
2,2015-08-18,,,1.0,1,0,1,26371.0
1,2015-08-17,,,1.0,1,0,1,26906.0
7,2015-08-16,,,0.0,0,0,1,27686.0
6,2015-08-15,,,1.0,0,0,1,28328.0
5,2015-08-14,,,1.0,0,0,1,29880.0
4,2015-08-13,,,1.0,0,0,1,30214.0
3,2015-08-12,,,1.0,0,0,1,31329.0
2,2015-08-11,,,1.0,0,0,1,31792.0
1,2015-08-10,,,1.0,0,0,1,32878.0
7,2015-08-09,,,0.0,0,0,1,34206.0
6,2015-08-08,,,1.0,0,0,1,35071.0
5,2015-08-07,,,1.0,1,0,1,35840.0
4,2015-08-06,,,1.0,1,0,1,36545.0
3,2015-08-05,,,1.0,1,0,1,37441.0
2,2015-08-04,,,1.0,1,0,1,38096.0
1,2015-08-03,,,1.0,1,0,1,39117.0
7,2015-08-02,,,0.0,0,0,1,39861.0
6,2015-08-01,,,1.0,0,0,1,40807.0
5,2015-07-31,6395.0,437.0,1.0,1,0,1,
4,2015-07-30,4327.0,391.0,1.0,1,0,1,
3,2015-07-29,3485.0,318.0,1.0,1,0,0,
2,2015-07-28,4300.0,405.0,1.0,1,0,0,
1,2015-07-27,5483.0,469.0,1.0,1,0,0,
7,2015-07-26,0.0,0.0,0.0,0,0,0,
6,2015-07-25,3947.0,373.0,1.0,0,0,0,
5,2015-07-24,3292.0,421.0,1.0,0,0,0,
4,2015-07-23,3828.0,336.0,1.0,0,0,0,
3,2015-07-22,3369.0,357.0,1.0,0,0,0,
2,2015-07-21,4300.0,335.0,1.0,0,0,0,
1,2015-07-20,3356.0,416.0,1.0,0,0,0,
7,2015-07-19,0.0,0.0,0.0,0,0,0,
6,2015-07-18,2201.0,375.0,1.0,0,0,0,
5,2015-07-17,3805.0,336.0,1.0,1,0,0,
4,2015-07-16,4566.0,442.0,1.0,1,0,0,
3,2015-07-15,3995.0,378.0,1.0,1,0,0,
2,2015-07-14,4039.0,412.0,1.0,1,0,0,
1,2015-07-13,4639.0,438.0,1.0,1,0,0,
7,2015-07-12,0.0,0.0,0.0,0,0,0,
6,2015-07-11,2327.0,367.0,1.0,0,0,0,
5,2015-07-10,4031.0,418.0,1.0,0,0,0,
4,2015-07-09,3828.0,362.0,1.0,0,0,0,
3,2015-07-08,4260.0,387.0,1.0,0,0,0,
2,2015-07-07,3841.0,377.0,1.0,0,0,0,
1,2015-07-06,3178.0,394.0,1.0,0,0,0,
7,2015-07-05,0.0,0.0,0.0,0,0,0,
6,2015-07-04,3659.0,341.0,1.0,0,0,0,
5,2015-07-03,4188.0,394.0,1.0,1,0,0,
4,2015-07-02,3805.0,330.0,1.0,1,0,0,
3,2015-07-01,4106.0,464.0,1.0,1,0,0,
2,2015-06-30,4677.0,438.0,1.0,1,0,0,
1,2015-06-29,7063.0,466.0,1.0,1,0,0,
7,2015-06-28,0.0,0.0,0.0,0,0,0,
6,2015-06-27,4164.0,351.0,1.0,0,0,0,
5,2015-06-26,3794.0,365.0,1.0,0,0,0,
4,2015-06-25,3992.0,367.0,1.0,0,0,0,
3,2015-06-24,3135.0,330.0,1.0,0,0,0,
2,2015-06-23,3736.0,367.0,1.0,0,0,0,
1,2015-06-22,4771.0,441.0,1.0,0,0,0,
7,2015-06-21,0.0,0.0,0.0,0,0,0,
6,2015-06-20,3111.0,334.0,1.0,0,0,0,
5,2015-06-19,5056.0,405.0,1.0,1,0,0,
4,2015-06-18,0.0,0.0,0.0,1,0,0,
3,2015-06-17,4842.0,400.0,1.0,1,0,0,
2,2015-06-16,3358.0,415.0,1.0,1,0,0,
1,2015-06-15,0.0,0.0,0.0,1,0,0,
7,2015-06-14,0.0,0.0,0.0,0,0,0,
6,2015-06-13,4650.0,366.0,1.0,0,0,0,
5,2015-06-12,3794.0,411.0,1.0,0,0,0,
4,2015-06-11,3469.0,349.0,1.0,0,0,0,
3,2015-06-10,3891.0,405.0,1.0,0,0,0,
2,2015-06-09,3972.0,388.0,1.0,0,0,0,
1,2015-06-08,4135.0,416.0,1.0,0,0,0,
7,2015-06-07,0.0,0.0,0.0,0,0,0,
6,2015-06-06,3997.0,378.0,1.0,0,0,0,
5,2015-06-05,3331.0,388.0,1.0,1,0,1,
4,2015-06-04,0.0,0.0,0.0,1,a,1,
3,2015-06-03,4602.0,457.0,1.0,1,0,1,
2,2015-06-02,3805.0,419.0,1.0,1,0,1,
1,2015-06-01,5454.0,453.0,1.0,1,0,1,
4,2015-09-17,,,1.0,1,0,0,312.0
3,2015-09-16,,,1.0,1,0,0,1278.0
2,2015-09-15,,,1.0,1,0,0,1978.0
1,2015-09-14,,,1.0,1,0,0,2812.0
7,2015-09-13,,,0.0,0,0,0,3814.0
6,2015-09-12,,,1.0,0,0,0,4460.0
5,2015-09-11,,,1.0,0,0,1,5875.0
4,2015-09-10,,,1.0,0,0,1,6414.0
3,2015-09-09,,,1.0,0,0,1,6995.0
2,2015-09-08,,,1.0,0,0,1,8035.0
1,2015-09-07,,,1.0,0,0,1,8872.0
7,2015-09-06,,,0.0,0,0,0,10066.0
6,2015-09-05,,,1.0,0,0,0,10400.0
5,2015-09-04,,,1.0,1,0,1,11896.0
4,2015-09-03,,,1.0,1,0,1,12162.0
3,2015-09-02,,,1.0,1,0,1,13533.0
2,2015-09-01,,,1.0,1,0,1,14251.0
1,2015-08-31,,,1.0,1,0,1,14720.0
7,2015-08-30,,,0.0,0,0,0,15420.0
6,2015-08-29,,,1.0,0,0,0,17039.0
5,2015-08-28,,,1.0,0,0,1,17409.0
4,2015-08-27,,,1.0,0,0,1,18116.0
3,2015-08-26,,,1.0,0,0,1,18914.0
2,2015-08-25,,,1.0,0,0,1,19919.0
1,2015-08-24,,,1.0,0,0,1,21319.0
7,2015-08-23,,,0.0,0,0,0,21627.0
6,2015-08-22,,,1.0,0,0,0,23067.0
5,2015-08-21,,,1.0,1,0,1,23887.0
4,2015-08-20,,,1.0,1,0,1,24646.0
3,2015-08-19,,,1.0,1,0,1,25453.0
2,2015-08-18,,,1.0,1,0,1,25992.0
1,2015-08-17,,,1.0,1,0,1,26597.0
7,2015-08-16,,,0.0,0,0,0,27494.0
6,2015-08-15,,,1.0,0,0,0,28397.0
5,2015-08-14,,,1.0,0,0,1,29935.0
4,2015-08-13,,,1.0,0,0,1,30138.0
3,2015-08-12,,,1.0,0,0,1,31165.0
2,2015-08-11,,,1.0,0,0,1,31984.0
1,2015-08-10,,,1.0,0,0,1,33034.0
7,2015-08-09,,,0.0,0,0,0,34095.0
6,2015-08-08,,,1.0,0,0,0,34952.0
5,2015-08-07,,,1.0,1,0,1,35787.0
4,2015-08-06,,,1.0,1,0,1,36533.0
3,2015-08-05,,,1.0,1,0,1,36924.0
2,2015-08-04,,,1.0,1,0,1,37800.0
1,2015-08-03,,,1.0,1,0,1,39025.0
7,2015-08-02,,,0.0,0,0,0,39637.0
6,2015-08-01,,,1.0,0,0,0,40642.0
5,2015-07-31,9772.0,785.0,1.0,1,0,1,
4,2015-07-30,8244.0,614.0,1.0,1,0,1,
3,2015-07-29,7253.0,524.0,1.0,1,0,1,
2,2015-07-28,8864.0,657.0,1.0,1,0,1,
1,2015-07-27,11567.0,759.0,1.0,1,0,1,
7,2015-07-26,0.0,0.0,0.0,0,0,0,
6,2015-07-25,2198.0,281.0,1.0,0,0,0,
5,2015-07-24,6983.0,603.0,1.0,0,0,1,
4,2015-07-23,6267.0,641.0,1.0,0,0,1,
3,2015-07-22,5246.0,517.0,1.0,0,0,1,
2,2015-07-21,5706.0,533.0,1.0,0,0,1,
1,2015-07-20,7073.0,630.0,1.0,0,0,1,
7,2015-07-19,0.0,0.0,0.0,0,0,0,
6,2015-07-18,3598.0,387.0,1.0,0,0,0,
5,2015-07-17,7522.0,700.0,1.0,1,0,1,
4,2015-07-16,8266.0,667.0,1.0,1,0,1,
3,2015-07-15,9528.0,742.0,1.0,1,0,1,
2,2015-07-14,12000.0,744.0,1.0,1,0,1,
1,2015-07-13,12719.0,815.0,1.0,1,0,1,
7,2015-07-12,0.0,0.0,0.0,0,0,0,
6,2015-07-11,3746.0,437.0,1.0,0,0,0,
5,2015-07-10,7291.0,710.0,1.0,0,0,0,
4,2015-07-09,9472.0,694.0,1.0,0,0,0,
3,2015-07-08,8646.0,707.0,1.0,0,0,0,
2,2015-07-07,6247.0,609.0,1.0,0,0,0,
1,2015-07-06,8164.0,668.0,1.0,0,0,0,
7,2015-07-05,0.0,0.0,0.0,0,0,0,
6,2015-07-04,2290.0,260.0,1.0,0,0,0,
5,2015-07-03,8266.0,735.0,1.0,1,0,0,
4,2015-07-02,6526.0,577.0,1.0,1,0,0,
3,2015-07-01,8287.0,721.0,1.0,1,0,0,
2,2015-06-30,12277.0,928.0,1.0,1,0,0,
1,2015-06-29,11000.0,887.0,1.0,1,0,0,
7,2015-06-28,0.0,0.0,0.0,0,0,0,
6,2015-06-27,2723.0,383.0,1.0,0,0,0,
5,2015-06-26,6091.0,534.0,1.0,0,0,0,
4,2015-06-25,5556.0,621.0,1.0,0,0,0,
3,2015-06-24,6893.0,609.0,1.0,0,0,0,
2,2015-06-23,5108.0,613.0,1.0,0,0,0,
1,2015-06-22,7178.0,658.0,1.0,0,0,0,
7,2015-06-21,0.0,0.0,0.0,0,0,0,
6,2015-06-20,3282.0,382.0,1.0,0,0,0,
5,2015-06-19,7707.0,651.0,1.0,1,0,0,
4,2015-06-18,6208.0,602.0,1.0,1,0,0,
3,2015-06-17,8916.0,641.0,1.0,1,0,0,
2,2015-06-16,7646.0,627.0,1.0,1,0,0,
1,2015-06-15,28545.0,877.0,1.0,1,0,0,
7,2015-06-14,0.0,0.0,0.0,0,0,0,
6,2015-06-13,2783.0,408.0,1.0,0,0,0,
5,2015-06-12,5803.0,637.0,1.0,0,0,0,
4,2015-06-11,6971.0,665.0,1.0,0,0,0,
3,2015-06-10,6323.0,566.0,1.0,0,0,0,
2,2015-06-09,7511.0,666.0,1.0,0,0,0,
1,2015-06-08,5747.0,566.0,1.0,0,0,0,
7,2015-06-07,0.0,0.0,0.0,0,0,0,
6,2015-06-06,5645.0,550.0,1.0,0,0,0,
5,2015-06-05,9402.0,696.0,1.0,1,0,0,
4,2015-06-04,0.0,0.0,0.0,1,a,0,
3,2015-06-03,8897.0,708.0,1.0,1,0,0,
2,2015-06-02,9869.0,688.0,1.0,1,0,0,
1,2015-06-01,14160.0,884.0,1.0,1,0,0,
5,2015-07-31,6996.0,570.0,1.0,1,0,1,
4,2015-07-30,5303.0,512.0,1.0,1,0,1,
3,2015-07-29,5477.0,540.0,1.0,1,0,1,
2,2015-07-28,5541.0,464.0,1.0,1,0,1,
1,2015-07-27,7256.0,609.0,1.0,1,0,1,
7,2015-07-26,0.0,0.0,0.0,0,0,0,
6,2015-07-25,3586.0,426.0,1.0,0,0,0,
5,2015-07-24,4177.0,491.0,1.0,0,0,1,
4,2015-07-23,3705.0,445.0,1.0,0,0,1,
3,2015-07-22,4443.0,453.0,1.0,0,0,1,
2,2015-07-21,4278.0,494.0,1.0,0,0,1,
1,2015-07-20,4804.0,506.0,1.0,0,0,1,
7,2015-07-19,0.0,0.0,0.0,0,0,0,
6,2015-07-18,4076.0,404.0,1.0,0,0,0,
5,2015-07-17,5263.0,506.0,1.0,1,0,0,
4,2015-07-16,4956.0,519.0,1.0,1,0,0,
3,2015-07-15,4804.0,442.0,1.0,1,0,0,
2,2015-07-14,5556.0,523.0,1.0,1,0,0,
1,2015-07-13,8036.0,625.0,1.0,1,0,0,
7,2015-07-12,0.0,0.0,0.0,0,0,0,
6,2015-07-11,5604.0,458.0,1.0,0,0,0,
5,2015-07-10,4386.0,461.0,1.0,0,0,0,
4,2015-07-09,4138.0,426.0,1.0,0,0,0,
3,2015-07-08,4243.0,453.0,1.0,0,0,0,
2,2015-07-07,3794.0,475.0,1.0,0,0,0,
1,2015-07-06,4522.0,464.0,1.0,0,0,0,
7,2015-07-05,0.0,0.0,0.0,0,0,0,
6,2015-07-04,2979.0,394.0,1.0,0,0,0,
5,2015-07-03,5520.0,515.0,1.0,1,0,0,
4,2015-07-02,5179.0,451.0,1.0,1,0,0,
3,2015-07-01,5985.0,528.0,1.0,1,0,0,
2,2015-06-30,10500.0,624.0,1.0,1,0,0,
1,2015-06-29,5238.0,467.0,1.0,1,0,0,
7,2015-06-28,0.0,0.0,0.0,0,0,0,
6,2015-06-27,3039.0,357.0,1.0,0,0,0,
5,2015-06-26,3167.0,432.0,1.0,0,0,0,
4,2015-06-25,5058.0,433.0,1.0,0,0,0,
3,2015-06-24,4256.0,491.0,1.0,0,0,0,
2,2015-06-23,3789.0,395.0,1.0,0,0,0,
1,2015-06-22,4562.0,469.0,1.0,0,0,0,
7,2015-06-21,0.0,0.0,0.0,0,0,0,
6,2015-06-20,3829.0,395.0,1.0,0,0,0,
5,2015-06-19,4779.0,496.0,1.0,1,0,0,
4,2015-06-18,5047.0,437.0,1.0,1,0,0,
3,2015-06-17,4600.0,483.0,1.0,1,0,0,
2,2015-06-16,6078.0,553.0,1.0,1,0,0,
1,2015-06-15,7146.0,624.0,1.0,1,0,0,
7,2015-06-14,0.0,0.0,0.0,0,0,0,
6,2015-06-13,2950.0,357.0,1.0,0,0,0,
5,2015-06-12,4865.0,446.0,1.0,0,0,0,
4,2015-06-11,4022.0,464.0,1.0,0,0,0,
3,2015-06-10,3588.0,422.0,1.0,0,0,0,
