DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
5,2015-07-31,7541.0,754.0,1.0,1,0,1,
4,2015-07-30,5734.0,562.0,1.0,1,0,1,
3,2015-07-29,6231.0,592.0,1.0,1,0,1,
2,2015-07-28,6854.0,697.0,1.0,1,0,1,
1,2015-07-27,6576.0,614.0,1.0,1,0,1,
7,2015-07-26,0.0,0.0,0.0,0,0,0,
6,2015-07-25,2176.0,297.0,1.0,0,0,0,
5,2015-07-24,4406.0,484.0,1.0,0,0,1,
4,2015-07-23,4865.0,524.0,1.0,0,0,1,
3,2015-07-22,4935.0,528.0,1.0,0,0,1,
2,2015-07-21,5604.0,533.0,1.0,0,0,1,
1,2015-07-20,4487.0,518.0,1.0,0,0,1,
7,2015-07-19,0.0,0.0,0.0,0,0,0,
6,2015-07-18,3107.0,366.0,1.0,0,0,0,
5,2015-07-17,5511.0,618.0,1.0,1,0,1,
4,2015-07-16,6152.0,631.0,1.0,1,0,1,
3,2015-07-15,6569.0,570.0,1.0,1,0,1,
2,2015-07-14,8420.0,744.0,1.0,1,0,1,
1,2015-07-13,8371.0,834.0,1.0,1,0,1,
7,2015-07-12,0.0,0.0,0.0,0,0,0,
6,2015-07-11,2813.0,317.0,1.0,0,0,0,
5,2015-07-10,6186.0,592.0,1.0,0,0,0,
4,2015-07-09,5246.0,560.0,1.0,0,0,0,
3,2015-07-08,4443.0,517.0,1.0,0,0,0,
2,2015-07-07,4518.0,527.0,1.0,0,0,0,
1,2015-07-06,5211.0,562.0,1.0,0,0,0,
7,2015-07-05,0.0,0.0,0.0,0,0,0,
6,2015-07-04,2488.0,286.0,1.0,0,0,0,
5,2015-07-03,6226.0,625.0,1.0,1,0,0,
4,2015-07-02,6425.0,629.0,1.0,1,0,0,
3,2015-07-01,6857.0,663.0,1.0,1,0,0,
2,2015-06-30,10961.0,855.0,1.0,1,0,0,
1,2015-06-29,11657.0,825.0,1.0,1,0,0,
7,2015-06-28,0.0,0.0,0.0,0,0,0,
6,2015-06-27,3131.0,362.0,1.0,0,0,0,
5,2015-06-26,4728.0,614.0,1.0,0,0,0,
4,2015-06-25,5619.0,651.0,1.0,0,0,0,
3,2015-06-24,4039.0,505.0,1.0,0,0,0,
2,2015-06-23,4225.0,532.0,1.0,0,0,0,
1,2015-06-22,5461.0,570.0,1.0,0,0,0,
7,2015-06-21,0.0,0.0,0.0,0,0,0,
6,2015-06-20,4902.0,373.0,1.0,0,0,0,
5,2015-06-19,7291.0,701.0,1.0,1,0,0,
4,2015-06-18,6208.0,625.0,1.0,1,0,0,
3,2015-06-17,6033.0,604.0,1.0,1,0,0,
2,2015-06-16,4649.0,592.0,1.0,1,0,0,
1,2015-06-15,8305.0,769.0,1.0,1,0,0,
7,2015-06-14,0.0,0.0,0.0,0,0,0,
6,2015-06-13,2491.0,314.0,1.0,0,0,0,
5,2015-06-12,4380.0,529.0,1.0,0,0,0,
4,2015-06-11,5209.0,657.0,1.0,0,0,0,
3,2015-06-10,5021.0,533.0,1.0,0,0,0,
2,2015-06-09,4230.0,480.0,1.0,0,0,0,
1,2015-06-08,4576.0,547.0,1.0,0,0,0,
7,2015-06-07,0.0,0.0,0.0,0,0,0,
6,2015-06-06,3667.0,298.0,1.0,0,0,0,
5,2015-06-05,6098.0,641.0,1.0,1,0,0,
4,2015-06-04,7179.0,716.0,1.0,1,0,0,
3,2015-06-03,6396.0,620.0,1.0,1,0,0,
2,2015-06-02,9780.0,785.0,1.0,1,0,0,
1,2015-06-01,9001.0,815.0,1.0,1,0,0,
