Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,d,c,6470.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
1,a,a,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
2,a,a,540.0,6.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
3,a,c,100.0,6.0,2007.0,1,48.0,2012.0,"Mar,Jun,Sept,Dec"
4,d,a,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
5,c,c,3890.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
6,c,a,550.0,12.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
7,d,c,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
8,a,a,290.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
9,a,a,910.0,10.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
10,c,a,2460.0,4.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
11,c,a,1080.0,5.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
12,a,a,2060.0,10.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
13,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
14,a,a,560.0,10.0,2014.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
15,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
16,d,c,5840.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
17,a,a,520.0,9.0,1999.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
18,d,a,5070.0,11.0,2007.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
19,a,c,5380.0,8.0,2015.0,1,5.0,2010.0,"Feb,May,Aug,Nov"
20,a,a,300.0,5.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,c,a,1600.0,8.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
22,a,a,180.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
23,a,a,720.0,10.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
24,a,a,330.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
25,a,a,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
26,a,c,1060.0,5.0,2009.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
27,c,c,530.0,4.0,2005.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
28,a,a,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
29,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
30,a,a,90.0,6.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
31,a,a,100.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
32,a,a,3750.0,11.0,2001.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
33,a,a,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
34,a,a,2640.0,5.0,2011.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
35,d,c,18010.0,9.0,2014.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
36,d,c,8250.0,10.0,2000.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
37,a,a,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
38,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
39,d,a,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
40,d,a,11640.0,4.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
41,c,c,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
42,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
43,a,a,180.0,3.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
44,a,a,1200.0,12.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
45,d,a,17280.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
46,a,a,2640.0,4.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
47,a,a,180.0,3.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
48,a,a,1200.0,10.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
49,a,c,2310.0,9.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
50,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
51,d,a,8670.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
52,a,a,180.0,3.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
53,d,c,7660.0,9.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
54,a,a,1200.0,9.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
55,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
