Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
0,a,a,190.0,10.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
1,a,a,40.0,2.0,2014.0,1,23.0,2014.0,"Mar,Jun,Sept,Dec"
2,a,a,350.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
3,c,c,490.0,5.0,2007.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
4,a,a,180.0,11.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
5,a,a,3750.0,11.0,2001.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
6,d,c,5870.0,4.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
7,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
8,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
9,c,c,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
10,a,a,330.0,11.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
11,a,a,250.0,6.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
12,a,c,2190.0,5.0,2003.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
13,a,a,300.0,7.0,2000.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
14,a,a,540.0,4.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
15,a,c,100.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
16,d,c,1860.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
17,d,c,2870.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
18,d,c,3290.0,1.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
19,d,c,2870.0,9.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
20,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
21,a,a,1070.0,2.0,2010.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
22,c,a,550.0,7.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
23,c,a,230.0,6.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
24,d,a,310.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
25,a,a,340.0,9.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
26,a,a,180.0,3.0,2008.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
27,a,a,2060.0,10.0,2008.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
28,c,a,700.0,4.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
29,d,a,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
30,c,a,700.0,4.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
31,c,a,550.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
32,a,a,180.0,3.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
33,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
34,a,a,1060.0,5.0,2009.0,1,27.0,2011.0,"Feb,May,Aug,Nov"
35,a,a,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
36,a,c,70.0,7.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
37,a,a,3750.0,11.0,2001.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
38,a,a,720.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
