age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35,Private,339320,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,10520,0,45,United-States,>50K
61,Private,23829,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,223220,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,1564,45,United-States,>50K
35,Private,367497,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
17,Private,95259,11th,7,Never-married,Sales,Own-child,White,Female,0,0,22,United-States,<=50K
49,Local-gov,54535,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,1594,40,United-States,<=50K
51,Local-gov,312973,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,<=50K
44,,103709,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,15,United-States,<=50K
39,Local-gov,312245,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,Cuba,>50K
60,Private,183405,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
31,State-gov,157486,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
49,Private,375006,9th,5,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Private,97779,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,Mexico,>50K
74,Private,172812,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
60,Private,335618,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
58,Private,202930,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States,<=50K
31,Private,157289,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,103925,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
23,Private,83742,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Self-emp-not-inc,259420,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
45,Private,223230,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Poland,<=50K
32,Private,188246,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
30,Self-emp-inc,298013,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
33,Private,531513,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
30,Private,166561,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,40,,<=50K
23,Self-emp-inc,193140,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
64,Local-gov,102138,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,41,United-States,<=50K
32,Self-emp-not-inc,103435,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
