longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.5,38.49,27.0,2743.0,536.0,1419.0,516.0,3.3842,156600.0,INLAND
-118.46,34.12,29.0,3649.0,842.0,1785.0,786.0,5.6423,353100.0,<1H OCEAN
-122.28,37.89,52.0,1386.0,283.0,604.0,264.0,4.0288,225000.0,NEAR BAY
-122.42,37.79,52.0,2029.0,535.0,883.0,484.0,5.0285,500001.0,NEAR BAY
-117.87,33.76,37.0,1528.0,297.0,1477.0,322.0,3.875,175500.0,<1H OCEAN
-121.91,38.79,38.0,1642.0,313.0,874.0,302.0,2.369,110200.0,INLAND
-122.08,37.62,36.0,2115.0,440.0,1055.0,424.0,3.267,165600.0,NEAR BAY
-122.09,37.68,37.0,615.0,173.0,333.0,144.0,3.2969,200000.0,NEAR BAY
-120.97,37.61,12.0,5306.0,711.0,2810.0,748.0,5.5621,252700.0,INLAND
-122.47,37.78,52.0,3631.0,773.0,1587.0,797.0,3.5206,398000.0,NEAR BAY
-122.24,37.8,39.0,3108.0,549.0,1232.0,542.0,5.2417,267300.0,NEAR BAY
-118.04,34.08,42.0,2398.0,684.0,2940.0,691.0,2.6659,189200.0,<1H OCEAN
-121.82,39.74,52.0,404.0,57.0,103.0,56.0,0.806,62500.0,INLAND
-122.19,39.9,24.0,2398.0,511.0,1137.0,510.0,1.632,57700.0,INLAND
-117.7,33.53,13.0,8252.0,1410.0,3575.0,1279.0,5.547,325000.0,<1H OCEAN
-122.27,37.88,49.0,1333.0,343.0,755.0,265.0,2.6362,189800.0,NEAR BAY
-118.15,33.89,45.0,1288.0,219.0,617.0,214.0,4.0427,165100.0,<1H OCEAN
-118.0,34.1,30.0,862.0,176.0,542.0,174.0,3.0341,160600.0,INLAND
-118.33,34.19,41.0,3189.0,574.0,1375.0,554.0,6.729,341500.0,<1H OCEAN
-118.7,34.29,8.0,1588.0,231.0,585.0,220.0,8.1494,415300.0,<1H OCEAN
-118.42,34.23,35.0,1128.0,228.0,792.0,239.0,3.7159,165000.0,<1H OCEAN
-117.73,33.51,3.0,240.0,87.0,145.0,68.0,9.1204,500001.0,<1H OCEAN
-118.04,34.58,5.0,15228.0,2372.0,9433.0,2229.0,3.6233,136300.0,INLAND
-121.45,38.53,37.0,2116.0,460.0,1041.0,445.0,2.3667,57600.0,INLAND
-118.31,34.08,46.0,789.0,167.0,746.0,184.0,3.3542,209000.0,<1H OCEAN
-118.38,34.2,24.0,2767.0,1102.0,3244.0,932.0,1.2765,237500.0,<1H OCEAN
-118.4,34.31,26.0,3847.0,569.0,1791.0,570.0,7.3312,344100.0,<1H OCEAN
-122.93,38.53,52.0,1211.0,300.0,474.0,182.0,2.1615,82500.0,<1H OCEAN
-118.23,33.81,42.0,1916.0,391.0,1249.0,360.0,3.7317,210700.0,NEAR OCEAN
-118.18,34.07,38.0,1193.0,342.0,1626.0,311.0,2.2212,152500.0,<1H OCEAN
-116.57,33.8,28.0,1520.0,337.0,610.0,215.0,1.5333,77500.0,INLAND
-117.09,32.72,20.0,3245.0,786.0,2264.0,748.0,1.504,81100.0,NEAR OCEAN
-123.47,39.97,27.0,748.0,151.0,393.0,112.0,2.3486,62900.0,<1H OCEAN
-122.02,36.97,42.0,3057.0,532.0,1258.0,506.0,4.7857,298600.0,NEAR OCEAN
-118.31,34.04,52.0,1087.0,288.0,1320.0,327.0,1.5979,145300.0,<1H OCEAN
-121.95,37.54,20.0,16984.0,1142.0,7686.0,1906.0,7.8078,395200.0,<1H OCEAN
-118.92,35.4,38.0,749.0,129.0,261.0,109.0,1.4857,74400.0,INLAND
-118.12,33.83,38.0,1701.0,319.0,991.0,304.0,4.03,296800.0,<1H OCEAN
-118.06,33.86,28.0,1638.0,328.0,911.0,316.0,4.53,199300.0,<1H OCEAN
-117.22,32.81,28.0,2883.0,542.0,893.0,510.0,3.3262,293800.0,NEAR OCEAN
-117.07,32.64,17.0,4734.0,897.0,2222.0,848.0,4.1378,241700.0,NEAR OCEAN
-122.41,37.63,45.0,1556.0,275.0,878.0,289.0,4.5156,329300.0,NEAR OCEAN
-117.69,35.61,35.0,2323.0,441.0,1383.0,413.0,3.2737,48400.0,INLAND
-120.55,38.47,11.0,1713.0,286.0,706.0,258.0,3.462,104500.0,INLAND
-118.02,33.81,17.0,5412.0,895.0,2454.0,857.0,7.1371,474100.0,<1H OCEAN
-117.92,33.8,32.0,1497.0,285.0,949.0,297.0,3.9583,186300.0,<1H OCEAN
-121.5,38.57,42.0,3008.0,559.0,816.0,512.0,3.1333,127800.0,INLAND
-117.7,33.57,4.0,2441.0,354.0,690.0,249.0,10.0146,500001.0,<1H OCEAN
-118.14,34.19,46.0,1661.0,274.0,724.0,278.0,4.7464,247300.0,<1H OCEAN
-120.27,37.81,12.0,3167.0,653.0,1701.0,602.0,3.1432,120400.0,INLAND
-118.59,34.2,23.0,10933.0,1768.0,4363.0,1692.0,5.0652,266500.0,<1H OCEAN
-118.44,34.26,30.0,1306.0,313.0,1000.0,303.0,3.5808,167200.0,<1H OCEAN
-118.34,34.08,52.0,1230.0,322.0,696.0,306.0,3.0,392600.0,<1H OCEAN
-116.47,34.08,9.0,5655.0,1527.0,610.0,269.0,3.5007,128100.0,INLAND
-122.11,37.68,35.0,1197.0,184.0,555.0,176.0,4.2012,229300.0,NEAR BAY
-117.67,35.62,11.0,1901.0,350.0,986.0,326.0,3.1984,81000.0,INLAND
-118.46,34.24,38.0,1261.0,239.0,587.0,248.0,4.6679,178000.0,<1H OCEAN
-122.43,37.71,48.0,1519.0,314.0,1463.0,329.0,4.0375,240900.0,NEAR BAY
-121.46,38.55,36.0,1292.0,287.0,558.0,282.0,1.9125,54900.0,INLAND
-117.75,33.83,15.0,4272.0,637.0,1568.0,614.0,7.2741,318300.0,<1H OCEAN
-121.42,38.62,35.0,1408.0,250.0,678.0,240.0,3.4219,108000.0,INLAND
-118.36,34.05,44.0,893.0,204.0,584.0,172.0,3.0,209400.0,<1H OCEAN
-118.21,33.94,36.0,600.0,150.0,743.0,140.0,3.5542,156300.0,<1H OCEAN
-118.3,33.81,52.0,2571.0,414.0,1001.0,448.0,5.684,327700.0,<1H OCEAN
-118.42,34.06,29.0,5403.0,1312.0,2221.0,1252.0,3.9812,500001.0,<1H OCEAN
-122.27,37.84,52.0,1508.0,353.0,676.0,335.0,1.651,152500.0,NEAR BAY
-122.35,37.59,52.0,3964.0,735.0,1644.0,713.0,5.6876,500000.0,NEAR OCEAN
-120.45,40.24,18.0,403.0,109.0,232.0,95.0,3.3214,75000.0,INLAND
-118.55,34.21,36.0,1476.0,294.0,888.0,274.0,4.5625,186000.0,<1H OCEAN
-118.26,34.02,41.0,568.0,232.0,854.0,225.0,1.2226,132500.0,<1H OCEAN
-121.47,38.55,48.0,1614.0,325.0,682.0,305.0,1.9648,84600.0,INLAND
-122.43,37.64,36.0,796.0,132.0,388.0,137.0,3.5862,391300.0,NEAR OCEAN
-122.55,37.96,52.0,1873.0,324.0,717.0,328.0,3.1219,420800.0,NEAR BAY
-118.88,34.16,9.0,15839.0,2222.0,7283.0,2150.0,8.4164,440200.0,<1H OCEAN
-117.73,34.08,35.0,3107.0,579.0,1798.0,577.0,4.4459,135800.0,INLAND
-121.73,36.82,26.0,2328.0,468.0,1710.0,474.0,3.7565,257600.0,<1H OCEAN
-118.3,33.95,45.0,1157.0,248.0,920.0,223.0,2.7857,94000.0,<1H OCEAN
-117.02,33.04,21.0,3692.0,699.0,1490.0,657.0,3.155,147900.0,<1H OCEAN
-118.97,35.37,34.0,1472.0,399.0,1309.0,371.0,1.8583,42000.0,INLAND
-117.13,32.7,45.0,1108.0,297.0,1128.0,285.0,1.9688,88100.0,NEAR OCEAN
-122.43,37.75,52.0,1442.0,284.0,526.0,276.0,5.8758,406300.0,NEAR BAY
-121.9,37.3,16.0,5235.0,1037.0,2355.0,942.0,5.2476,319900.0,<1H OCEAN
-121.84,39.72,10.0,3373.0,764.0,1848.0,745.0,1.6102,87900.0,INLAND
-123.08,41.66,21.0,3218.0,634.0,819.0,327.0,2.1135,71200.0,INLAND
-121.38,38.67,24.0,2786.0,546.0,1453.0,540.0,4.1568,120700.0,INLAND
-117.03,32.57,15.0,1281.0,275.0,1347.0,294.0,3.1257,133300.0,NEAR OCEAN
-121.72,39.47,20.0,4417.0,740.0,2431.0,733.0,3.7079,84400.0,INLAND
-117.67,34.06,18.0,707.0,184.0,449.0,179.0,3.825,122900.0,INLAND
-119.74,34.45,28.0,1976.0,391.0,605.0,319.0,3.5621,380400.0,NEAR OCEAN
-119.87,36.73,33.0,1566.0,272.0,806.0,282.0,3.5647,83300.0,INLAND
-122.38,37.59,39.0,1405.0,282.0,702.0,306.0,4.8235,457400.0,NEAR OCEAN
-118.52,34.26,36.0,1286.0,228.0,799.0,235.0,5.0622,174900.0,<1H OCEAN
-118.32,33.97,42.0,2112.0,453.0,1362.0,470.0,2.9208,106800.0,<1H OCEAN
-117.22,33.16,7.0,2877.0,482.0,1415.0,464.0,4.9039,180700.0,<1H OCEAN
-117.98,33.69,24.0,3330.0,448.0,1343.0,434.0,7.5952,390500.0,<1H OCEAN
-121.2,37.82,26.0,690.0,108.0,332.0,113.0,5.4688,192100.0,INLAND
-118.07,33.89,39.0,902.0,205.0,950.0,226.0,3.365,140100.0,<1H OCEAN
-122.1,37.38,32.0,2473.0,412.0,1032.0,418.0,9.3352,500001.0,NEAR BAY
-122.05,37.28,33.0,3298.0,541.0,1432.0,512.0,7.4882,446300.0,<1H OCEAN
-118.31,34.19,45.0,1913.0,427.0,1409.0,422.0,3.0125,242800.0,<1H OCEAN
-117.25,33.18,7.0,2620.0,414.0,1346.0,403.0,7.0518,355600.0,NEAR OCEAN
-121.78,36.92,16.0,3769.0,717.0,1969.0,632.0,4.2406,181400.0,<1H OCEAN
-115.65,32.79,28.0,1113.0,262.0,969.0,243.0,1.8804,50000.0,INLAND
-122.07,37.61,29.0,1709.0,424.0,1184.0,419.0,2.517,203200.0,NEAR BAY
-118.3,33.8,26.0,2272.0,534.0,1467.0,504.0,4.2138,325100.0,<1H OCEAN
-118.56,34.25,36.0,1327.0,264.0,731.0,261.0,4.5792,174400.0,<1H OCEAN
-118.34,33.95,35.0,691.0,145.0,726.0,154.0,3.6528,170000.0,<1H OCEAN
-122.0,37.26,30.0,2873.0,566.0,1399.0,559.0,5.0713,223300.0,<1H OCEAN
-122.49,37.77,52.0,2539.0,507.0,1072.0,488.0,3.8071,500001.0,NEAR BAY
-117.02,32.69,17.0,5089.0,992.0,3447.0,1069.0,4.0847,104700.0,NEAR OCEAN
-118.16,33.9,36.0,1626.0,331.0,1217.0,346.0,4.175,170800.0,<1H OCEAN
-117.08,32.71,29.0,1131.0,248.0,999.0,240.0,1.6452,55000.0,NEAR OCEAN
-120.48,34.97,22.0,1529.0,287.0,1167.0,293.0,3.8512,152400.0,<1H OCEAN
-121.43,38.56,34.0,2432.0,495.0,1003.0,445.0,2.2572,82600.0,INLAND
-117.06,32.68,29.0,1406.0,269.0,826.0,244.0,4.5542,150000.0,NEAR OCEAN
-118.36,33.88,35.0,2961.0,565.0,1342.0,555.0,5.6643,375600.0,<1H OCEAN
-121.32,38.56,18.0,3937.0,637.0,1514.0,639.0,3.835,120400.0,INLAND
-121.02,37.66,36.0,19.0,2.0,31.0,2.0,1.625,75000.0,INLAND
-121.87,38.0,21.0,3789.0,772.0,2149.0,752.0,3.5,100600.0,INLAND
-119.79,36.83,26.0,1293.0,203.0,541.0,207.0,3.625,137500.0,INLAND
-117.21,32.75,21.0,1262.0,340.0,1418.0,317.0,2.3958,225000.0,NEAR OCEAN
-118.41,34.04,35.0,1375.0,276.0,513.0,287.0,3.5917,289300.0,<1H OCEAN
-121.15,36.97,14.0,384.0,70.0,146.0,65.0,3.375,254400.0,INLAND
-117.81,33.89,16.0,7030.0,5471.0,4265.0,1185.0,4.7361,276300.0,<1H OCEAN
-118.27,34.14,17.0,749.0,246.0,714.0,235.0,2.3056,200000.0,<1H OCEAN
-119.0,35.37,52.0,1858.0,408.0,994.0,370.0,1.6107,54200.0,INLAND
-117.07,32.58,23.0,2916.0,492.0,1496.0,492.0,4.0278,130700.0,NEAR OCEAN
-122.21,37.79,21.0,1939.0,516.0,1063.0,392.0,3.635,150900.0,NEAR BAY
-115.54,32.82,33.0,2776.0,537.0,1634.0,471.0,2.409,60400.0,INLAND
-117.08,32.64,30.0,2101.0,370.0,1198.0,362.0,4.1364,150500.0,NEAR OCEAN
-121.27,38.13,38.0,103.0,18.0,49.0,22.0,4.5625,64200.0,INLAND
-122.41,37.71,48.0,1192.0,333.0,1491.0,327.0,2.0313,212500.0,NEAR BAY
-122.03,37.52,25.0,1713.0,314.0,1497.0,348.0,4.0247,178200.0,NEAR BAY
-118.41,34.22,34.0,2064.0,397.0,1452.0,393.0,3.525,238700.0,<1H OCEAN
-117.09,34.08,27.0,2162.0,370.0,986.0,358.0,3.5904,141300.0,INLAND
-122.0,37.35,15.0,1818.0,244.0,810.0,250.0,7.5157,343200.0,<1H OCEAN
-121.98,37.42,28.0,3505.0,935.0,2134.0,850.0,3.4688,225000.0,<1H OCEAN
-121.87,37.26,14.0,1669.0,192.0,806.0,204.0,7.788,359200.0,<1H OCEAN
-122.44,37.67,39.0,3626.0,953.0,2894.0,910.0,3.0333,232200.0,NEAR OCEAN
-122.42,37.76,52.0,2221.0,569.0,1345.0,519.0,2.9536,237500.0,NEAR BAY
-117.86,33.62,8.0,3463.0,579.0,1447.0,577.0,7.7006,396600.0,<1H OCEAN
-118.13,34.19,50.0,2879.0,411.0,1289.0,433.0,5.5767,252300.0,INLAND
-119.09,34.3,31.0,1401.0,320.0,779.0,339.0,2.3562,232400.0,NEAR OCEAN
-122.01,37.56,24.0,2572.0,454.0,1478.0,410.0,3.6864,222300.0,NEAR BAY
-122.49,37.77,52.0,2656.0,509.0,1249.0,472.0,3.5417,354000.0,NEAR BAY
-117.8,33.85,17.0,1619.0,237.0,907.0,241.0,6.701,299600.0,<1H OCEAN
-117.37,33.98,35.0,2891.0,502.0,2044.0,466.0,4.155,114400.0,INLAND
-121.71,37.97,22.0,3974.0,771.0,1245.0,796.0,3.3545,179400.0,INLAND
-118.32,34.1,38.0,5824.0,956.0,2431.0,910.0,4.5484,450000.0,<1H OCEAN
-117.05,32.66,18.0,5108.0,1073.0,2551.0,945.0,4.4545,222900.0,NEAR OCEAN
-117.13,32.76,44.0,1851.0,484.0,949.0,460.0,2.0974,140000.0,NEAR OCEAN
-117.92,33.77,27.0,5229.0,684.0,2976.0,747.0,9.3705,311300.0,<1H OCEAN
-116.3,33.67,11.0,13959.0,1303.0,7664.0,3295.0,1.9579,94500.0,INLAND
-117.05,32.7,21.0,2906.0,726.0,2596.0,731.0,1.3248,54000.0,NEAR OCEAN
-117.07,33.0,5.0,6416.0,1168.0,2911.0,1077.0,5.2242,242400.0,<1H OCEAN
-120.43,34.9,10.0,2567.0,518.0,1401.0,500.0,3.2513,120400.0,<1H OCEAN
-118.41,34.05,52.0,2577.0,616.0,1381.0,564.0,3.1045,455000.0,<1H OCEAN
-121.38,38.63,38.0,3503.0,661.0,1533.0,631.0,2.8352,120700.0,INLAND
-116.19,33.71,5.0,10818.0,1504.0,4576.0,1489.0,7.8986,353100.0,INLAND
-120.6,35.27,15.0,3718.0,761.0,1470.0,668.0,3.5934,209000.0,NEAR OCEAN
