Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
0,5,2015-07-31,16266,1730,1,1,0,1
0,4,2015-07-30,14296,1112,1,1,0,1
0,3,2015-07-29,13599,1023,1,1,0,1
0,2,2015-07-28,14744,1195,1,1,0,1
0,1,2015-07-27,22085,1310,1,1,0,1
0,7,2015-07-26,0,0,0,0,0,0
0,6,2015-07-25,9222,878,1,0,0,0
0,5,2015-07-24,8902,930,1,0,0,1
0,4,2015-07-23,9283,977,1,0,0,1
0,3,2015-07-22,8184,980,1,0,0,1
0,2,2015-07-21,9628,970,1,0,0,1
0,1,2015-07-20,12264,1181,1,0,0,1
0,7,2015-07-19,0,0,0,0,0,0
0,6,2015-07-18,11019,971,1,0,0,0
0,5,2015-07-17,12514,1158,1,1,0,1
0,4,2015-07-16,16578,1284,1,1,0,1
0,3,2015-07-15,18335,1299,1,1,0,1
0,2,2015-07-14,16386,1185,1,1,0,1
0,1,2015-07-13,18144,1410,1,1,0,1
0,7,2015-07-12,0,0,0,0,0,0
0,6,2015-07-11,13804,981,1,0,0,0
0,5,2015-07-10,10950,1065,1,0,0,1
0,4,2015-07-09,16960,1197,1,0,0,1
0,3,2015-07-08,12591,1073,1,0,0,1
0,2,2015-07-07,12047,1018,1,0,0,1
0,1,2015-07-06,12518,1335,1,0,0,1
0,7,2015-07-05,0,0,0,0,0,0
0,6,2015-07-04,8232,1088,1,0,0,0
0,5,2015-07-03,16647,1225,1,1,0,1
0,4,2015-07-02,16783,1147,1,1,0,1
0,3,2015-07-01,17954,3416,1,1,0,1
0,2,2015-06-30,20470,1520,1,1,0,1
0,1,2015-06-29,20791,2542,1,1,0,1
0,7,2015-06-28,0,0,0,0,0,0
0,6,2015-06-27,13281,1083,1,0,0,0
0,5,2015-06-26,8145,917,1,0,0,0
0,4,2015-06-25,8926,967,1,0,0,0
0,3,2015-06-24,11284,1012,1,0,0,0
0,2,2015-06-23,9063,873,1,0,0,0
0,1,2015-06-22,10795,1185,1,0,0,0
0,7,2015-06-21,0,0,0,0,0,0
0,6,2015-06-20,12603,988,1,0,0,0
0,5,2015-06-19,13601,1200,1,1,0,0
0,4,2015-06-18,14792,1230,1,1,0,0
0,3,2015-06-17,14972,1170,1,1,0,0
0,2,2015-06-16,19781,3502,1,1,0,0
0,1,2015-06-15,20503,1545,1,1,0,0
0,7,2015-06-14,0,0,0,0,0,0
0,6,2015-06-13,3719,982,1,0,0,0
0,5,2015-06-12,8449,1078,1,0,0,0
0,4,2015-06-11,11470,1091,1,0,0,0
0,3,2015-06-10,11508,1088,1,0,0,0
0,2,2015-06-09,12207,1087,1,0,0,0
0,1,2015-06-08,13103,1160,1,0,0,0
0,7,2015-06-07,0,0,0,0,0,0
0,6,2015-06-06,4460,981,1,0,0,0
0,5,2015-06-05,14058,1410,1,1,0,0
0,4,2015-06-04,15204,1280,0,1,a,0
0,3,2015-06-03,18203,1410,1,1,0,0
0,2,2015-06-02,18794,1427,1,1,0,0
0,1,2015-06-01,21057,1514,1,1,0,0
1,5,2015-07-31,6576,444,1,1,0,1
1,4,2015-07-30,6216,424,1,1,0,1
1,3,2015-07-29,5914,400,1,1,0,1
1,2,2015-07-28,6528,421,1,1,0,1
1,1,2015-07-27,9268,512,1,1,0,1
1,7,2015-07-26,0,0,0,0,0,0
1,6,2015-07-25,2252,157,1,0,0,0
1,5,2015-07-24,5067,500,1,0,0,1
1,4,2015-07-23,5098,518,1,0,0,1
1,3,2015-07-22,4162,412,1,0,0,1
1,2,2015-07-21,4606,421,1,0,0,1
1,1,2015-07-20,5714,530,1,0,0,1
1,7,2015-07-19,0,0,0,0,0,0
1,6,2015-07-18,2628,194,1,0,0,0
1,5,2015-07-17,6043,533,1,1,0,1
1,4,2015-07-16,7256,513,1,1,0,1
1,3,2015-07-15,6593,545,1,1,0,1
1,2,2015-07-14,8520,560,1,1,0,1
1,1,2015-07-13,8529,539,1,1,0,1
1,7,2015-07-12,0,0,0,0,0,0
1,6,2015-07-11,2662,170,1,0,0,0
1,5,2015-07-10,5432,451,1,0,0,0
1,4,2015-07-09,5093,508,1,0,0,0
1,3,2015-07-08,5699,507,1,0,0,0
1,2,2015-07-07,5542,518,1,0,0,0
1,1,2015-07-06,5796,518,1,0,0,0
1,7,2015-07-05,0,0,0,0,0,0
1,6,2015-07-04,2291,177,1,0,0,0
1,5,2015-07-03,6292,497,1,1,0,0
1,4,2015-07-02,6010,530,1,1,0,0
1,3,2015-07-01,7083,648,1,1,0,0
1,2,2015-06-30,8269,557,1,1,0,0
1,1,2015-06-29,9621,614,1,1,0,0
1,7,2015-06-28,0,0,0,0,0,0
1,6,2015-06-27,1591,121,1,0,0,0
1,5,2015-06-26,5273,480,1,0,0,0
1,4,2015-06-25,4728,487,1,0,0,0
1,3,2015-06-24,5129,480,1,0,0,0
1,2,2015-06-23,5279,465,1,0,0,0
1,1,2015-06-22,5065,381,1,0,0,0
1,7,2015-06-21,0,0,0,0,0,0
1,6,2015-06-20,2577,153,1,0,0,0
1,5,2015-06-19,6328,483,1,1,0,0
1,4,2015-06-18,6203,583,1,1,0,0
1,3,2015-06-17,6744,482,1,1,0,0
1,2,2015-06-16,6164,550,1,1,0,0
1,1,2015-06-15,8772,678,1,1,0,0
1,7,2015-06-14,0,0,0,0,0,0
1,6,2015-06-13,3572,165,1,0,0,0
1,5,2015-06-12,5705,480,1,0,0,0
1,4,2015-06-11,5572,473,1,0,0,0
1,3,2015-06-10,4159,405,1,0,0,0
1,2,2015-06-09,5347,491,1,0,0,0
1,1,2015-06-08,5512,507,1,0,0,0
1,7,2015-06-07,0,0,0,0,0,0
1,6,2015-06-06,1880,174,1,0,0,0
1,5,2015-06-05,8367,609,1,1,0,0
1,4,2015-06-04,7224,464,1,1,a,0
1,3,2015-06-03,8281,621,1,1,0,0
1,2,2015-06-02,8074,511,1,1,0,0
1,1,2015-06-01,8274,655,1,1,0,0
2,5,2015-07-31,8099,558,1,1,0,1
2,4,2015-07-30,5641,450,1,1,0,1
2,3,2015-07-29,6620,470,1,1,0,1
2,2,2015-07-28,6493,513,1,1,0,1
2,1,2015-07-27,8641,512,1,1,0,1
